Row	c1	c2	c3
d_glucose	0.0933605330417483	0.100504546550368	0.101258861620014
d_fructose	0.0772630302752998	0.14842043044027	0.161861380512977
raffinose	0.0695035749564602	0.0762437261412277	0.0769382184485539
melibiose	0.161050224160638	0.174715239016449	0.176506808271405
