Amino_acid_metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	Carbohydrate_metabolism	Inositol_phosphate_metabolism	Lipid_and_fatty_acid_metabolism	Medium	Metabolism_of_cofactors_and_vitamins	Nucleotide_metabolism	Other	Pseudoreaction	Sink	Terpenoid_backbone_biosynthesis	Transport
0	0	0	0	0	0	0	8.16706879655167	0	0	0	0	0
0	0	0	0	5.49302074770574	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.753152567330203	0	0	0	0	0
0	0	0	0	0	0	0	12.9140626147425	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0.123659655292931	0	0	0	0	0	0	0	0	0	0	0	0
8.46611673158115	0	0	0	0	0	0	0	0	0	0	0	0
6.8499130116749	0	0	0	0	0	0	0	0	0	0	0	0
8.52207040819169	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1.77760619176687	0	0	0	0	0	0	0	0	0	0
0	0	1.78534620201083	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0.12365965526687	0	0	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.0168068509982825	0	0	0	0	0	0	0	0	0	0
0	0	0	0	7.6845381258545	0	0	0	0	0	0	0	0
0	0	0.77349607459396	0	0	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	0.734674167465057	0	0	0	0	0	0	0	0	0	0
10.1655680318324	0	10.1655680318324	0	0	0	0	0	0	0	0	0	0
0	0	20.4756045308545	0	0	0	0	0	0	0	0	0	0
26.120043416515	0	0	0	0	0	0	0	0	0	0	0	0
0.220080229672629	0	0	0	0	0	0	0	0	0	0	0	0
12.3900081980688	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	8.41804976167996	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.159615279810338	0
0	0	0	0	0	0	0.0158140240264316	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
29.46891340343	0	0	0	0	0	0	0	0	0	0	0	0
23.9379153035715	0	23.9379153035715	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	NaN	0	0	0	0	0	0
1.84290539854916	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	NaN	NaN	0	0	0	0	0
0	0	2.43169704761192	0	0	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	9.90871278172501	0	0	0	0	0	0
2.33685097209687	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.0171039544918356	0	0	0	0	0	0
0	0	0	0	0	0	0	36.5939699636479	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0	0	0	3.63146431816764	0	0	0	0	0
0	0	20.3832294310825	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	18.8865529419907	0	0	0	0	0	0
0	0	16.4255749248263	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	NaN	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	55.5752086508901	0
0	0	17.5136835463706	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	0.739559857231184	0	0	0	0	0	0	0	0	0	0
0	0	24.9111875354181	0	0	0	0	0	0	0	0	0	0
30.6488424690489	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0	0	NaN	0	0	0	0	0	0
4.61163108739878	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	6.21413331889516	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
4.84630711225295	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	30.5487183817237	0	0	0	0	0	0	0	0
6.60873966098869	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	19.1730856861985	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	NaN	0	0	0	0
3.22650812156759	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1.84693452758783	0	0	0	0	0
0	0	0	NaN	0	0	0	0	0	0	0	0	0
0	0	30.367518766933	0	0	0	0	0	0	0	0	0	0
0	0	16.8079950801948	0	0	0	16.8079950801948	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
5.22947753585816	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	109.544511501033	0	0	0	0	0	0
2.4821589862431	0	0	0	0	0	0	0	0	0	0	0	0
5.68228228195892	0	0	0	0	0	0	0	0	0	0	0	0
