r0053_c0_f,adenosine_3_5_bisphosphate_3_phosphohydrolase_c0,Nucleotide metabolism,0.082053,0.31528948,0.4845945
r0054_m0_f,succinate_transporter_m0,Transport,0.3653219,0.52437612,0.65947344
r0055_c0_f,2_nomega_l_argininosuccinate_arginine_lyase_fumarate_forming_c0,Amino acid metabolism,0.57160838,0.64200536,0.60284816
r0056_c0_f,atp_sulfate_adenylyltransferase_c0,Nucleotide metabolism,0.39208948,0.36005128,0.422762
r0057_c0,atp_dump_phosphotransferase_c0,Nucleotide metabolism,0.6044104,0.65584496,0.48279068
r0058_c0_f,atp_d_ribose_5_phosphate_diphosphotransferase_c0,Carbohydrate metabolism,0.41620112,0.58618272,0.75532176
r0059_c0_f,l_glutamine_d_fructose_6_phosphate_isomerase_deaminating_c0,Amino acid metabolism,0.55635884,0.61140192,0.56310076
r0060_c0_f,carbamoyl_phosphate_l_aspartate_carbamoyltransferase_c0,Amino acid metabolism,0.62222876,0.70129916,0.76396752
r0061_m0_f,l_isoleucine_2_oxoglutarate_aminotransferase_m0,Amino acid metabolism,0.21883218,0.59981988,0.8467412
r0062_m0_f,f1f0_atpase_m0,Transport,0.36273308,0.52269128,0.66406276
r0063_c0,atp_d_fructose_6_phosphate_2_phosphotransferase_c0,Carbohydrate metabolism,0.50000002,0.5003,0.5003
r0064_c0_f,acetyl_coa_l_homoserine_o_acetyltransferase_c0,Amino acid metabolism,0.27101804,0.44886904,0.70998544
r0065_c0,chitin_synthase_c0,Amino sugar and nucleotide sugar metabolism,0.04569474,0.31400488,0.36495704
r0066_c0,non_growth_associated_maintenance_reaction_ngam_c0,Nucleotide metabolism,0.47963056,0.59657392,0.60181188
r0067_m0_f,3_hydroxy_2_methylpropanoate_nad_plus_oxidoreductase_m0,Amino acid metabolism,0.66427656,0.71087728,0.70996998
r0069_c0_f,3_dehydroquinate_hydro_lyase_c0,Amino acid metabolism,0.5489425,0.67260132,0.80758608
r0070_c0_f,atp_nicotinamide_nucleotide_adenylyltransferase_c0,Metabolism of cofactors and vitamins,0.31752906,0.6174389,0.81010334
r0071_c0_f,5_10_methylenetetrahydrofolate_dump_c_methyltransferase_c0,Nucleotide metabolism,0.08003676,0.34698888,0.89254536
r0072_c0_f,atp_riboflavin_5_phosphotransferase_c0,Metabolism of cofactors and vitamins,0.04054556,0.30217148,0.85216556
r0074_m0,citrate_synthase_m0,Carbohydrate metabolism,0.50652708,0.5403124,0.4897412
r0075_c0_f,gtp_cyclohydrolase_ii_c0,Metabolism of cofactors and vitamins,0.19714366,0.45728496,0.75343848
r0077_c0_f,5_6_7_8_tetrahydrofolate_nadp_plus_oxidoreductase_c0,Metabolism of cofactors and vitamins,0.28118008,0.44716104,0.625534
r0078_c0_f,5_phospho_d_ribosylamine_glycine_ligase_adp_forming_c0,Nucleotide metabolism,0.04936226,0.73211764,0.95416452
r0081_c0,choline_kinase_c0,Lipid and fatty acid metabolism,0.22821404,0.29447352,0.45422088
r0082_c0_f,porphobilinogen_4_2_carboxyethyl_3_carboxymethylpyrrol_2_ylmethyltransferase_hydrolysing_c0,Metabolism of cofactors and vitamins,0.43569054,0.60864748,0.7502616
r0083_c0_f,trans_trans_farnesyl_diphosphate_isopentenyl_diphosphate_farnesyltranstransferase_c0,Terpenoid backbone biosynthesis,0.3399121,0.43968084,0.65887864
r0086_c0_f,3_hydroxy_l_kynurenine_hydrolase_c0,Amino acid metabolism,0.61967164,0.43692288,0.40940696
r0087_c0_f,atp_diphosphate_lyase_cyclizing_3_5_cyclic_amp_forming_c0,Nucleotide metabolism,0.64985518,0.69445416,0.52448688
r0088_c0,o_succinyl_l_homoserine_succinate_lyase_deaminating_2_oxobutanoate_forming_c0,Amino acid metabolism,0.47446512,0.5128596,0.538424
r0089_c0_f,orotidine_5_phosphate_carboxy_lyase_ump_forming_c0,Nucleotide metabolism,0.19209038,0.53290092,0.82564328
r0090_m0,pyruvate_nad_plus_2_oxidoreductase_coa_acetylating_m0,Carbohydrate metabolism,0.500693,0.52891768,0.52897472
r0091_c0_f,dcmp_aminohydrolase_c0,Nucleotide metabolism,0.0623207,0.35382132,0.87988152
r0092_c0_f,atp_shikimate_3_phosphotransferase_c0,Amino acid metabolism,0.5553253,0.6707449,0.7915929
r0093_c0_f,pantoate_nadp_plus_2_oxidoreductase_c0,Metabolism of cofactors and vitamins,0.08666674,0.31142128,0.60637576
r0095_c0_f,atp_thiamine_diphosphotransferase_c0,Metabolism of cofactors and vitamins,0.04569474,0.31400488,0.36495704
r0096_c0_f,1_5_phospho_d_ribosyl_atp_diphosphate_phospho_alpha_d_ribosyl_transferase_c0,Amino acid metabolism,0.14337806,0.40453274,0.74370682
r0097_c0_f,d_erythro_1_imidazol_4_ylglycerol_3_phosphate_hydro_lyase_c0,Amino acid metabolism,0.04569474,0.31400488,0.95564296
r0098_c0_f,3_methyl_2_oxobutanoate_hydroxymethyltransferase_c0,Metabolism of cofactors and vitamins,0.22755296,0.45083056,0.67949718
r0099_m0,l_aspartate_2_oxoglutarate_aminotransferase_m0,Amino acid metabolism,0.4170725,0.4875858,0.53226764
r0100_c0_f,utp_l_glutamine_amido_ligase_adp_forming_c0,Nucleotide metabolism,0.1849974,0.47783888,0.80956996
r0101_c0,2_amino_4_hydroxy_6_erythro_1_2_3_trihydroxypropyl_dihydropteridine_triphosphate_phosphohydrolase_alkaline_optimum_c0,Metabolism of cofactors and vitamins,0.52951088,0.51484146,0.4834628
r0103_m0,n2_acetyl_l_ornithine_l_glutamate_n_acetyltransferase_m0,Amino acid metabolism,0.3762846,0.4086961,0.4943944
r0104_c0,atp_ethanolamine_o_phosphotransferase_c0,Lipid and fatty acid metabolism,0.5345732,0.50849808,0.47332924
r0106_c0,acetaldehyde_nadp_plus_oxidoreductase_c0,Carbohydrate metabolism,0.49520066,0.56028896,0.5264702
r0107_c0_f,gtp_7_8_8_9_dihydrolase_c0,Metabolism of cofactors and vitamins,0.05034754,0.32017104,0.86028704
r0108_c0_f,1_5_phosphoribosyl_5_amino_4_carboxyimidazole_l_aspartate_ligase_adp_forming_c0,Nucleotide metabolism,0.04464892,0.28556244,0.85752324
r0110_c0,imp_l_aspartate_ligase_gdp_forming_c0,Nucleotide metabolism,0.48900724,0.54238088,0.55660344
r0111_c0_f,atp_amp_phosphotransferase_c0,Nucleotide metabolism,0.19256042,0.44018344,0.74327736
r0113_c0_f,s_adenosylmethioninamine_putrescine_3_aminopropyltransferase_c0,Amino acid metabolism,0.04569474,0.31400488,0.36495704
r0114_m0_f,carbamoyl_phosphate_l_ornithine_carbamoyltransferase_m0,Amino acid metabolism,0.1939904,0.47336624,0.78715376
r0115_c0_f,histidinol_phosphate_aminotransferase_c0,Amino acid metabolism,0.04569474,0.31400488,0.95564296
r0116_m0,isocitrate_nad_plus_oxidoreductase_decarboxylating_m0,Carbohydrate metabolism,0.51510664,0.5544998,0.5046888
r0117_c0_f,adentylate_kinase_gtp_c0,Nucleotide metabolism,0.55735798,0.66016728,0.70289724
r0118_c0_f,allantoin_amidohydrolase_c0,Nucleotide metabolism,0.68400638,0.73277228,0.43838696
r0119_c0_f,l_ornithine_carboxy_lyase_putrescine_forming_c0,Amino acid metabolism,0.68270526,0.73499512,0.95564296
r0120_c0,l_homoserine_nadp_plus_oxidoreductase_c0,Amino acid metabolism,0.50688796,0.50210012,0.49429428
r0121_c0_f,2_phospho_d_glycerate_hydro_lyase_phosphoenolpyruvate_forming_c0,Carbohydrate metabolism,0.53853562,0.60183054,0.55462554
r0123_c0_f,2_dehydro_3_deoxy_d_arabino_heptonate_7_phosphate_phosphate_lyase_cyclyzing_c0,Amino acid metabolism,0.56827422,0.69567512,0.83981116
r0124_m0_f,malate_transporter_m0,Transport,0.36507154,0.52479476,0.66160472
r0125_r0_f,squalene_synthase_c0,Lipid and fatty acid metabolism,0.11551428,0.46219868,0.66818744
r0126_c0,l_citrulline_l_aspartate_ligase_amp_forming_c0,Amino acid metabolism,0.24704688,0.44128214,0.61746402
r0128_c0,6_phosphogluconate_phosphatase_c0,Other,0.62993494,0.66152752,0.45424188
r0129_m0_f,s_3_hydroxyisobutyryl_coa_hydro_lyase_m0,Amino acid metabolism,0.27889472,0.40693052,0.54469148
r0131_m0_f,s_3_methyl_2_oxopentanoate_nad_plus_2_oxidoreductase_coa_methylbutanoylating_m0,Other,0.49300828,0.60974304,0.7182864
r0133_c0_f,udp_glucose_alpha_d_galactose_1_phosphate_uridylyltransferase_c0,Carbohydrate metabolism,0.13719498,0.45645052,0.82769124
r0134_c0,pyruvate_kinase_c0,Carbohydrate metabolism,0.49343784,0.5343954,0.5295038
r0135_c0_f,pyruvate_carboxy_lyase_acetaldehyde_forming_c0,Carbohydrate metabolism,0.58080316,0.67588932,0.79554192
r0136_c0_f,2_deoxy_d_ribose_5_phosphate_acetaldehyde_lyase_d_glyceraldehyde_3_phosphate_forming_c0,Carbohydrate metabolism,0.14102218,0.43809804,0.80465916
r0138_c0_f,atp_l_aspartate_4_phosphotransferase_c0,Amino acid metabolism,0.44728978,0.60426768,0.70910828
r0139_c0,l_kynurenine_hydrolase_c0,Amino acid metabolism,0.4808162,0.5027988,0.51981896
r0140_c0_f,l_aspartate_l_glutamine_amido_ligase_amp_forming_c0,Amino acid metabolism,0.51388492,0.63398224,0.69753632
r0141_c0_f,4_maleylacetoacetate_cis_trans_isomerase_c0,Amino acid metabolism,0.04569474,0.31400488,0.95564296
r0142_c0_f,d_glyceraldehyde_3_phosphate_nad_plus_oxidoreductase_phosphorylating_c0,Carbohydrate metabolism,0.60046092,0.64109298,0.63457448
r0144_c0_f,geranyl_diphosphate_isopentenyl_diphosphate_geranyltrans_transferase_c0,Terpenoid backbone biosynthesis,0.2923547,0.42015188,0.6273756
r0146_c0_f,s_adenosyl_l_methionine_uroporphyrin_iii_c_methyltransferase_c0,Metabolism of cofactors and vitamins,0.04569474,0.31400488,0.36495704
r0148_m0,7_8_dihydropteroate_l_glutamate_ligase_adp_forming_c0,Metabolism of cofactors and vitamins,0.547644,0.4681862,0.42402416
r0150_c0_f,phosphoenolpyruvate_d_erythrose_4_phosphate_c_1_carboxyvinyltransferase_phosphate_hydrolysing_2_carboxy_2_oxoethyl_forming_c0,Amino acid metabolism,0.6088607,0.68507568,0.71165712
r0151_c0_f,atp_l_homoserine_o_phosphotransferase_c0,Amino acid metabolism,0.0935139,0.34883938,0.71103866
r0152_e0_f,ammonia_transport_gintamt1_2_3_e0,Transport,0.31364398,0.51608466,0.70033668
r0154_c0_f,fumarylacetoacetate_hydrolase_c0,Amino acid metabolism,0.2813555,0.63594306,0.85380038
r0156_c0,nicotinate_nucleotide_pyrophosphate_phosphoribosyltransferase_carboxylating_c0,Metabolism of cofactors and vitamins,0.4730106,0.48795982,0.51073756
r0158_r0_f,4_4_dimethyl_5a_cholesta_8_24_dien_3b_ol_nadp_d14_oxidoreductase_r0,Lipid and fatty acid metabolism,0.67187798,0.72544908,0.92937632
r0159_c0,s_adenosyl_l_homocysteine_hydrolase_c0,Amino acid metabolism,0.49971292,0.52610106,0.50897806
r0160_c0,glutathione_hydrogen_peroxide_oxidoreductase_c0,Metabolism of cofactors and vitamins,0.58065136,0.65082508,0.5117315
r0161_m0_f,succinyl_coa_glycine_c_succinyltransferase_decarboxylating_m0,Amino acid metabolism,0.57852794,0.67201666,0.6741277
r0164_m0_f,adenylate_kinase_gtp_m0,Nucleotide metabolism,0.55403994,0.6542832,0.69667832
r0165_c0_f,dimethylallyltranstransferase_c0,Terpenoid backbone biosynthesis,0.13353616,0.36781796,0.7450194
r0166_c0_f,ump_diphosphate_phospho_alpha_d_ribosyltransferase_c0,Nucleotide metabolism,0.3907112,0.46420264,0.56926104
r0167_c0_f,n_5_phospho_d_ribosylformimino_5_amino_1_5_phospho_d_ribosyl_4_imidazolecarboxamide_ketol_isomerase_c0,Nucleotide metabolism,0.04569474,0.31400488,0.95564296
r0168_c0_f,utp_alpha_d_glucose_1_phosphate_uridylyltransferase_c0,Carbohydrate metabolism,0.6177459,0.66973512,0.62714208
r0169_c0_f,l_glutamate_l_cysteine_gamma_ligase_adp_forming_c0,Metabolism of cofactors and vitamins,0.4547377,0.6109322,0.71853904
r0170_c0_f,sedoheptulose_7_phosphate_d_glyceraldehyde_3_phosphate_glyceronetransferase_c0,Carbohydrate metabolism,0.57499788,0.62733724,0.56568972
r0171_c0_f,carbonate_hydro_lyase_c0,Other,0.0679441,0.32190112,0.54840104
r0172_c0_f,isopentenyl_diphosphate_delta3_delta2_isomerase_c0,Terpenoid backbone biosynthesis,0.12850618,0.29319782,0.57007306
r0173_m0_f,fumarase_m0,Carbohydrate metabolism,0.1565039,0.38645688,0.63877272
r0175_c0,atp_d_fructose_6_phosphate_1_phosphotransferase_c0,Carbohydrate metabolism,0.47622206,0.51001324,0.52648532
r0176_c0_f,d_xylulose_5_phosphate_formaldehyde_glycolaldehydetransferase_c0,Carbohydrate metabolism,0.58579928,0.63906166,0.57194288
r0178_c0_f,xanthine_nad_plus_oxidoreductase_c0,Nucleotide metabolism,0.27224054,0.58455074,0.78779742
r0180_m0,nadph_cytochrome_p450_reductase_m0,Metabolism of cofactors and vitamins,0.56194194,0.56354184,0.47000452
