GLOIN_2v100066	0
GLOIN_2v100085	5
GLOIN_2v1003420	0.333333
GLOIN_2v100443	23
GLOIN_2v1004476	358.667
GLOIN_2v1005326	354.667
GLOIN_2v100546	1.33333
GLOIN_2v1009838	234
GLOIN_2v1011149	4
GLOIN_2v1011420	53.3333
GLOIN_2v1011475	0.333333
GLOIN_2v1011575	135
GLOIN_2v1012983	216.667
GLOIN_2v1013708	320.667
GLOIN_2v1014058	4
GLOIN_2v1014227	73.3333
GLOIN_2v1014596	201.333
GLOIN_2v1014651	0
GLOIN_2v1014763	4.33333
GLOIN_2v101486	2
GLOIN_2v1014899	5.33333
GLOIN_2v101497	46.6667
GLOIN_2v1014979	4.33333
GLOIN_2v1015043	0
GLOIN_2v1015051	2.66667
GLOIN_2v101580	110
GLOIN_2v1016225	14
GLOIN_2v101651	0
GLOIN_2v101696	43.3333
GLOIN_2v1016968	77
GLOIN_2v1017235	52
GLOIN_2v101752	27
GLOIN_2v101819	740.333
GLOIN_2v101857	353.667
GLOIN_2v1018781	144.333
GLOIN_2v1019687	245
GLOIN_2v102067	5.33333
GLOIN_2v1021481	0
GLOIN_2v1022074	13
GLOIN_2v1022470	1
GLOIN_2v1025144	148.667
GLOIN_2v1025220	459.333
GLOIN_2v1025801	77
GLOIN_2v1026385	0
GLOIN_2v1026699	107.667
GLOIN_2v1026830	17
GLOIN_2v1027159	398.667
GLOIN_2v1027721	3.33333
GLOIN_2v1027802	0.666667
GLOIN_2v102803	0
GLOIN_2v1028740	14
GLOIN_2v102878	5.66667
GLOIN_2v1030212	47
GLOIN_2v103063	2.66667
GLOIN_2v1030945	15.3333
GLOIN_2v103127	9
GLOIN_2v103136	0.333333
GLOIN_2v1031550	1247
GLOIN_2v1032243	4.33333
GLOIN_2v103297	12.3333
GLOIN_2v1033089	181.333
GLOIN_2v1033202	187
GLOIN_2v1033498	35.6667
GLOIN_2v103547	0
GLOIN_2v1035659	150
GLOIN_2v1036623	153.667
GLOIN_2v103670	1.66667
GLOIN_2v103712	1.66667
GLOIN_2v1037402	222
GLOIN_2v1037654	121.667
GLOIN_2v1037716	297
GLOIN_2v103794	4.66667
GLOIN_2v1038115	430.333
GLOIN_2v1039212	764
GLOIN_2v1039291	202.667
GLOIN_2v1039659	539.667
GLOIN_2v104305	24
GLOIN_2v1043330	11
GLOIN_2v1043511	0
GLOIN_2v1044124	25.6667
GLOIN_2v1045623	0.333333
GLOIN_2v1045877	9
GLOIN_2v1045878	8.66667
GLOIN_2v1048200	921.333
GLOIN_2v104871	0
GLOIN_2v1048828	2
GLOIN_2v1048949	767.667
GLOIN_2v1049188	5.33333
GLOIN_2v1049685	803.667
GLOIN_2v1051165	204
GLOIN_2v105535	1109.33
GLOIN_2v1057638	1132.33
GLOIN_2v1057704	76
GLOIN_2v1058196	115
GLOIN_2v1059289	1010.67
GLOIN_2v1061838	41.6667
GLOIN_2v1064476	9.33333
GLOIN_2v1065365	69.3333
GLOIN_2v1065429	34.3333
GLOIN_2v1066075	19
GLOIN_2v1066252	53.3333
GLOIN_2v1066344	1
GLOIN_2v1066398	42.6667
GLOIN_2v1066428	15
GLOIN_2v1066713	63.6667
GLOIN_2v1066737	41.3333
GLOIN_2v1067111	2
GLOIN_2v1067973	1.33333
GLOIN_2v1068230	294.667
GLOIN_2v1069194	0
GLOIN_2v1069220	0.666667
GLOIN_2v1069653	15
GLOIN_2v1070741	52
GLOIN_2v1070978	2.66667
GLOIN_2v1070997	1.33333
GLOIN_2v1071026	22.6667
GLOIN_2v1071028	10.3333
GLOIN_2v1071133	0
GLOIN_2v107123	769
GLOIN_2v1071357	0
GLOIN_2v1076644	70
GLOIN_2v1076656	0
GLOIN_2v1076684	0
GLOIN_2v1076692	132.667
GLOIN_2v1076755	31.3333
GLOIN_2v1076783	0
GLOIN_2v1076824	0
GLOIN_2v1077014	67
GLOIN_2v1077363	15
GLOIN_2v107859	135.333
GLOIN_2v1080130	0
GLOIN_2v1080450	1
GLOIN_2v1080634	19
GLOIN_2v1082515	734.667
GLOIN_2v1083363	0.666667
GLOIN_2v1084994	37
GLOIN_2v1085568	904.667
GLOIN_2v108838	249
GLOIN_2v1088818	0
GLOIN_2v1088893	1
GLOIN_2v1088894	2
GLOIN_2v1088974	0.333333
GLOIN_2v1089327	229.667
GLOIN_2v1089419	133
GLOIN_2v109045	444
GLOIN_2v1091892	15
GLOIN_2v1092213	14.3333
GLOIN_2v1092318	0
GLOIN_2v1092401	49.3333
GLOIN_2v1093440	24.6667
GLOIN_2v1098871	0.333333
GLOIN_2v1098872	0
GLOIN_2v1098880	3.33333
GLOIN_2v109949	4.66667
GLOIN_2v1099957	85.6667
GLOIN_2v1100363	4.33333
GLOIN_2v1100628	0.333333
GLOIN_2v1100831	312.667
GLOIN_2v1101511	2125.67
GLOIN_2v110273	105.667
GLOIN_2v110309	300.333
GLOIN_2v110798	1188.67
GLOIN_2v1109107	675
GLOIN_2v110950	2286.33
GLOIN_2v1109684	304.333
GLOIN_2v1110565	449.667
GLOIN_2v1110579	1208
GLOIN_2v1110668	247.667
GLOIN_2v1112270	360.667
GLOIN_2v1112457	1.33333
GLOIN_2v1112470	37.3333
GLOIN_2v1112497	4.66667
GLOIN_2v1112623	24
GLOIN_2v1112674	18.3333
GLOIN_2v1113001	30
GLOIN_2v1115132	209.333
GLOIN_2v1115527	229.667
GLOIN_2v1115765	9
GLOIN_2v1116756	1557
GLOIN_2v1116908	1
GLOIN_2v1120891	360.333
GLOIN_2v1121000	82
GLOIN_2v1121142	11.6667
GLOIN_2v1123265	13
GLOIN_2v1123362	0
GLOIN_2v1123939	86.6667
GLOIN_2v1124289	0.333333
GLOIN_2v1124436	464.333
GLOIN_2v1124533	3
GLOIN_2v1124770	0
GLOIN_2v1127313	126
GLOIN_2v1131131	947.667
GLOIN_2v1131795	737.333
GLOIN_2v1132678	21.3333
GLOIN_2v1133213	357.667
GLOIN_2v1133945	30.6667
GLOIN_2v1134418	280.333
GLOIN_2v1134550	52.6667
GLOIN_2v1134609	25.6667
GLOIN_2v1134862	0
GLOIN_2v113493	133
GLOIN_2v1134980	55.6667
GLOIN_2v1135001	0
GLOIN_2v1135065	111.333
GLOIN_2v1135120	76.6667
GLOIN_2v1135128	122
GLOIN_2v113549	12
GLOIN_2v1136723	36.3333
GLOIN_2v113784	21
GLOIN_2v1137880	6.33333
GLOIN_2v1138221	28.3333
GLOIN_2v1138257	27.6667
GLOIN_2v1138481	91
GLOIN_2v1138712	2.66667
GLOIN_2v1138743	6
GLOIN_2v113877	7.66667
GLOIN_2v1139072	6.66667
GLOIN_2v1139323	4.66667
GLOIN_2v1140040	555.333
GLOIN_2v114023	1.33333
GLOIN_2v1141778	0
GLOIN_2v1143282	0.333333
GLOIN_2v1144455	16.6667
GLOIN_2v1145418	3.33333
GLOIN_2v1145696	144.333
GLOIN_2v1145854	483.667
GLOIN_2v1145893	0
GLOIN_2v1146005	124.333
GLOIN_2v1146032	1.33333
GLOIN_2v1146055	1.66667
GLOIN_2v1146582	73.6667
GLOIN_2v1146758	0.333333
GLOIN_2v1146839	96.6667
GLOIN_2v1147038	3
GLOIN_2v1147490	536.333
GLOIN_2v1148193	0
GLOIN_2v1148199	0.666667
GLOIN_2v1148319	80.3333
GLOIN_2v1148603	4.66667
GLOIN_2v1152263	242.667
GLOIN_2v1152501	0.333333
GLOIN_2v1152958	321
GLOIN_2v1154237	50.6667
GLOIN_2v1154509	68
GLOIN_2v1155225	47.6667
