GLOIN_2v100066	0
GLOIN_2v100085	7
GLOIN_2v1003420	0
GLOIN_2v100443	82
GLOIN_2v1004476	366
GLOIN_2v1005326	435.667
GLOIN_2v100546	0
GLOIN_2v1009838	54
GLOIN_2v1011149	30.6667
GLOIN_2v1011420	12
GLOIN_2v1011475	34.6667
GLOIN_2v1011575	47.6667
GLOIN_2v1012983	266
GLOIN_2v1013708	81
GLOIN_2v1014058	0
GLOIN_2v1014227	82.6667
GLOIN_2v1014596	43.6667
GLOIN_2v1014651	14
GLOIN_2v1014763	1
GLOIN_2v101486	2
GLOIN_2v1014899	62.3333
GLOIN_2v101497	14.6667
GLOIN_2v1014979	3
GLOIN_2v1015043	0
GLOIN_2v1015051	0.333333
GLOIN_2v101580	28.6667
GLOIN_2v1016225	0.333333
GLOIN_2v101651	9.33333
GLOIN_2v101696	10
GLOIN_2v1016968	155.667
GLOIN_2v1017235	4.33333
GLOIN_2v101752	5
GLOIN_2v101819	69.6667
GLOIN_2v101857	54.6667
GLOIN_2v1018781	163.667
GLOIN_2v1019687	90.3333
GLOIN_2v102067	4.66667
GLOIN_2v1021481	0
GLOIN_2v1022074	19.3333
GLOIN_2v1022470	9
GLOIN_2v1025144	4
GLOIN_2v1025220	143.333
GLOIN_2v1025801	1
GLOIN_2v1026385	0
GLOIN_2v1026699	0
GLOIN_2v1026830	15.6667
GLOIN_2v1027159	233
GLOIN_2v1027721	1.33333
GLOIN_2v1027802	0
GLOIN_2v102803	0
GLOIN_2v1028740	24
GLOIN_2v102878	36.6667
GLOIN_2v1030212	17.6667
GLOIN_2v103063	0
GLOIN_2v1030945	25.3333
GLOIN_2v103127	1.33333
GLOIN_2v103136	0
GLOIN_2v1031550	509
GLOIN_2v1032243	115.333
GLOIN_2v103297	5
GLOIN_2v1033089	92
GLOIN_2v1033202	97.6667
GLOIN_2v1033498	3
GLOIN_2v103547	0
GLOIN_2v1035659	348.667
GLOIN_2v1036623	79.3333
GLOIN_2v103670	0
GLOIN_2v103712	1.33333
GLOIN_2v1037402	1112
GLOIN_2v1037654	163
GLOIN_2v1037716	545
