Row	fbaFlux	minFlux	maxFlux
r0001_c0_f	0.00245344446519595	0.000578634362702373	114939.1130599
r0002_c0_f	0.0046333827072184	0.00463338270748242	2028.64699042505
r0005_x0_f	15.5698089142308	0	7687.59236168035
r0006_c0_f	0.00314200041493124	0.00126719031248608	9716.51634261331
r0007_c0_f	0.00262644403596823	0.00262644403570638	847.496702385799
r0009_c0	0.00985074527964045	0.00985074527964172	2287.9440272127
r0010_c0	0	0	2287.93417169934
r0012_c0_f	0.000131677576978005	0.000131677576984475	2815.41765198578
r0013_m0	139.022872689797	0	263.812263972077
r0016_c0_f	0.00236212861484896	0.00236212861484896	1985.8123254076
r0017_c0	0	0	800.185281207063
r0018_c0_f	0	0	232.670435637858
r0019_e0_f	0.00744440149755859	0.00744440149834551	10000000
r0020_c0	0	0	1143.97619601711
r0021_c0_f	51.44770344512	0	74330.8848188667
r0023_m0_f	0.000276973941909072	0.000276973941909072	10.7237287806204
r0024_c0_f	0	0	541307.373791666
r0025_c0_f	51.4452183171244	0	140235.587658721
r0026_c0	0.000129499460668262	0.00012949946066451	0.000129499460667785
r0027_c0	0.00169648199376033	0	112.071303334646
r0028_c0_f	0.00187481010246655	0.00186800602123049	117.399345348417
r0029_c0	0	0	1143.96708827231
r0030_c0_f	0	0	2858.38780891197
r0031_c0_f	0.000276973941909072	0.000276973941909072	5552.38508443192
r0032_c0_f	0.00187481010246655	0.00186800602123049	13119.7611340323
r0033_c0_f	130.183469567958	0	308140.065666279
r0034_c0_f	0	0	164.970652326412
r0035_c0_f	0.00314200041493124	0.00126719031245285	367.86247203437
r0037_m0_f	0	0	341.7856854667
r0039_c0_f	0.00453032998986802	0.00453032998996328	61.0489104247598
r0040_c0	0	0	112.071303334646
r0041_c0_f	0.00271783647382266	0.00271783647382266	686.838268312887
r0042_c0_f	0.00127385711610121	0.00127385711609538	556.035231731543
r0043_r0_f	0	0	1266.74798362082
r0044_c0_f	0.000355471817798634	0	267.003967366369
r0045_m0_f	0	0	341.7856854667
r0046_c0_f	51.4452579911965	3.96740720764096e-05	251.105191340664
r0047_c0	0	0	3085.12378580555
r0048_m0	0	0	1065.06513319875
r0049_c0	0	0	263.812263972077
r0050_c0	0.000696843729113131	0	11.1912871818245
r0051_r0	1.84390855028142e-06	0	1.84390855028142e-06
r0053_c0_f	0.00127385711610121	0.00127385711610249	430.330204136825
r0054_m0_f	166.835508791004	0.00737831301751182	10000000
r0055_c0_f	0.000221538991929204	0.000221538991929204	282758.640986247
r0056_c0_f	0.00127385711610121	0.00127385711610249	1489.18807437669
r0057_c0	0	0	2287.93417707025
r0058_c0_f	51.4545310211217	0.00846770126086449	498.080332670129
r0059_c0_f	0.00271783647382266	0.00271311093945278	4947.18924283647
r0060_c0_f	0.00252870786406882	0.00252870786406882	14907.9121378232
r0061_m0_f	0	0	83358.2629815601
r0062_m0_f	1996.32184176135	0	10000000
r0063_c0	0	0	1.25221062422036
r0064_c0_f	0.000355471817798634	0.000355471817798634	242.10832299834
r0065_c0	2.58716438296284e-05	2.58716438296284e-05	2.58716438296284e-05
r0066_c0	3.20214285714286	3.20214285714286	2291.13631991183
r0067_m0_f	0	0	16882.2561155221
r0069_c0_f	0.00314200041493124	0.00126719031244323	28352.1449510905
r0070_c0_f	13.6886575055102	0	9255.90985934344
r0071_c0_f	0.000251741653400165	0.000251741653400165	1179.92747979992
r0072_c0_f	0	0	31.9542004070876
r0074_m0	288.676700714565	0	854.806975897905
r0075_c0_f	0.000779541827554804	0.000779541827554804	10128.174625599
r0077_c0_f	123.724441926679	0.00384807465528126	3683.89042553983
r0078_c0_f	0.00453032998986802	0.00453032999001124	0.405305593233173
r0081_c0	0	0	52.7338207425036
r0082_c0_f	0.000385787631291717	0.000385787631291717	17923.1985118235
r0083_c0_f	0.000207961162223829	0.000207961162196793	4.39988886586256
r0086_c0_f	0	0	1380.7216524259
r0087_c0_f	0	0	106043.003506969
r0088_c0	0	0	23.4542878782529
r0089_c0_f	0.00252870786406882	0.00252870786406589	20109.1757721617
r0090_m0	427.700028376029	0	876.779635943662
r0091_c0_f	0	0	298640.542825999
r0092_c0_f	0.00314200041493124	0.00126719031244575	1772.00905944316
r0093_c0_f	0.000129499460668262	0.000129499460669535	316.903285439201
r0095_c0_f	0.000233043075831439	0.000233043075831439	1.19098919176552
r0096_c0_f	0.000103052717350384	0.000103052717350384	398.635978218717
r0097_c0_f	0.000103052717350384	0.000103052717350384	227680.235623556
r0098_c0_f	0.000129499460668262	0.000129499460674732	69.8724869183996
r0099_m0	0	0	127.06995340166
r0100_c0_f	0.000962289055110612	0.000962289055114153	1856.95309554003
r0101_c0	0.00064888187765888	0.000648881877673091	0.000648881877651775
r0103_m0	108.150784937793	0	113.377014754258
r0104_c0	0	0	15.8451691553661
r0106_c0	0	0	1360.22554798206
r0107_c0_f	0.00064888187765888	0.000648881877673091	8469.69607673922
r0108_c0_f	0.00453032998986802	0.00453032998984781	281.327221801743
r0110_c0	0.00262644403596823	0.00262644403570638	786.633799278664
r0111_c0_f	232.135810346659	0.0331758516025959	522081.982731963
r0113_c0_f	0.000666877948657356	0.000666877948657356	3199.39708615241
r0114_m0_f	0.00275024685599803	0	3071.95842894225
r0115_c0_f	0.000103052717350384	0.000103052717350384	46462.3509553808
r0116_m0	0	0	718.172704409764
r0117_c0_f	0.0045450875626938	0.00454508756290091	490011.160545993
r0118_c0_f	0	0	439941.658397549
r0119_c0_f	0.00176345606044828	0.00176345606044828	7406.87244413589
r0120_c0	0	0	102.033315039957
r0121_c0_f	0	0	666.609381469793
