Row	ERM	HYP	ARB
av	0.00679032909220051	0.0179027078257905	0.0246770716068709
av+sd	0.00654070633730169	0.0172445772508864	0.0237699051902643
av-sd	0.00704189922113813	0.0185659726532989	0.0255913150733504
