rxns	kcats	EC_Numbers
r_0679	3.19	EC3.5.1.1
r_0680	3.19;3.19;3.19;3.19	EC3.5.1.1;EC3.5.1.1;EC3.5.1.1;EC3.5.1.1
r_0681	322	EC2.6.1.1
r_0682	322	EC2.6.1.1
r_0683	322	EC2.6.1.1
r_0687	694	EC1.5.1.2
r_0688	266;3.67	EC1.1.1.21 EC1.1.1.-;EC1.1.1.283 EC1.1.1.265
r_0689	4	EC4.3.1.17 EC4.3.1.19
r_0690	11	EC1.1.1.381
r_0691	161	EC1.1.1.14
r_0692	10.5	EC4.3.1.17 EC4.3.1.19
r_0693	287	EC4.3.1.19
r_0694	12	EC1.13.11.52
r_0695		
r_0696	113	EC1.1.1.283 EC1.1.1.265
r_0697	1820	EC4.4.1.5
r_0698	0.0019367	EC5.4.99.7
r_0699	898	EC2.6.1.42
r_0700	898	EC2.6.1.42
r_0701	37.5	EC6.1.1.4
r_0702	37.5	EC6.1.1.4
r_0703	20.1	EC3.3.2.6
r_0704	20.1	EC3.3.2.6
r_0705	20.1	EC3.3.2.6
r_0706	20.1	EC3.3.2.6
r_0707	20.1	EC3.3.2.6
r_0708	20.1	EC3.3.2.6
r_0711	45.7	EC6.1.1.6
r_0712	45.7	EC6.1.1.6
r_0713	18	EC1.1.1.37
r_0714	18	EC1.1.1.37
r_0715	18	EC1.1.1.37
r_0716	161;161	EC2.3.3.9;EC2.3.3.9
r_0717	161	EC2.3.3.9
r_0718	55	EC1.1.1.38
r_0719	55	EC1.1.1.38
r_0721	100	EC2.3.1.39
r_0722	195.9	EC2.7.7.13
r_0723	20	EC5.3.1.8
r_0724	867.65	EC1.5.1.5 EC3.5.4.9 EC6.3.4.3
r_0725	867.65	EC1.5.1.5 EC3.5.4.9 EC6.3.4.3
r_0726	8.83e-05;8.83e-05	EC2.5.1.6;EC2.5.1.6
r_0727	0.33	EC2.1.1.14
r_0728	0.13	EC2.1.2.9
r_0729	0.41	EC6.1.1.10
r_0730	0.41	EC6.1.1.10
r_0731	28.8	EC1.5.1.15
r_0732	867.65	EC1.5.1.5 EC3.5.4.9 EC6.3.4.3
r_0733	867.65	EC1.5.1.5 EC3.5.4.9 EC6.3.4.3
r_0734	100	EC4.1.3.30
r_0735	21.9	EC2.7.1.36
r_0736	21.9	EC2.7.1.36
r_0737	21.9	EC2.7.1.36
r_0738	21.9	EC2.7.1.36
r_0739	4.9	EC4.1.1.33
r_0747	0.093;70.9	EC2.-.-.-;EC2.4.-.-
r_0748	0.093;70.9	EC2.-.-.-;EC2.4.-.-
r_0749	0.093;70.9	EC2.-.-.-;EC2.4.-.-
r_0750	0.093;70.9	EC2.-.-.-;EC2.4.-.-
r_0751	0.093;70.9	EC2.-.-.-;EC2.4.-.-
r_0752	0.093;70.9	EC2.-.-.-;EC2.4.-.-
r_0753	0.093;70.9	EC2.-.-.-;EC2.4.-.-
r_0754	0.093;70.9	EC2.-.-.-;EC2.4.-.-
r_0755	0.093;70.9	EC2.-.-.-;EC2.4.-.-
r_0756	0.093;70.9	EC2.-.-.-;EC2.4.-.-
r_0757	0.48;0.48	EC3.1.3.25;EC3.1.3.25
r_0758	0.3	EC5.5.1.4
r_0759	7.7	EC1.2.1.38 EC2.7.2.8
r_0760	38	EC2.3.1.4
r_0761	0.22;0.22	EC2.3.1.1;EC2.3.1.35 EC2.3.1.1
r_0762	161	EC3.5.1.9
r_0763	2.57	EC1.14.14.-
r_0764	0.0025	EC3.6.1.22
r_0765	0.84;2.68	EC2.7.1.86;EC2.7.1.23
r_0766	0.84;2.68;0.84	EC2.7.1.86;EC2.7.1.23;EC2.7.1.86
r_0767	161;161;161;161;161	EC3.5.1.-;EC3.5.1.-;EC3.5.1.-;EC3.5.1.-;EC3.5.1.-
r_0768	6.4	EC6.3.5.1
r_0769	6.4	EC6.3.5.1
r_0770	0.031;0.031	EC1.6.5.9;EC1.6.5.9
r_0771	16.1;2.68	EC2.7.1.86;EC2.7.1.23
r_0772	16.1;2.68;16.1	EC2.7.1.86;EC2.7.1.23;EC2.7.1.86
r_0773	0.031	EC1.6.5.9
r_0774	0.25	EC6.3.4.21
r_0775	0.25	EC6.3.4.21
r_0781	3.8	EC3.5.1.19
r_0782	7	EC2.1.1.-
r_0783	2.41;2.41	EC2.7.7.1;EC2.7.7.1 EC2.7.7.18
r_0784	2.41;2.41	EC2.7.7.1 EC2.7.7.18;EC2.7.7.1 EC2.7.7.18
r_0785	2.41;2.41	EC2.7.7.1 EC2.7.7.18;EC2.7.7.1 EC2.7.7.18
r_0786	6	EC2.4.2.19
r_0787	6	EC2.4.2.19
r_0788	77.3	EC3.6.1.5
r_0789	103.7	EC3.6.1.5
r_0790	80.9	EC3.6.1.5
r_0791	3830	EC3.6.1.42
r_0792	3019	EC3.6.1.5
r_0793	79.9	EC3.6.1.5
r_0795	264	EC2.7.4.6
r_0796	264	EC2.7.4.6
r_0797	264	EC2.7.4.6
r_0798	264	EC2.7.4.6
r_0799	13.3	EC2.7.4.6
r_0800	264	EC2.7.4.6
r_0801	264	EC2.7.4.6
r_0802	264	EC2.7.4.6
r_0803	264	EC2.7.4.6
r_0804	8.8;3.1;80.9	EC3.6.5.3;EC3.6.5.5;EC3.6.1.5
r_0805	103.4	EC3.6.1.5
r_0806	3019	EC3.6.1.5
r_0807	105.3	EC3.6.1.5
r_0810	3830	EC3.6.1.42
r_0811	264	EC2.7.4.6
r_0812	240	EC2.5.1.47 EC2.5.1.49
r_0813	12	EC2.5.1.47 EC2.5.1.49
r_0815	121;121;0.15	EC2.5.1.48;EC2.5.1.48;EC4.4.1.1
r_0816	82	EC2.1.3.3
r_0817	4.2	EC4.1.1.17
r_0818	0.22	EC2.3.1.35 EC2.3.1.1
r_0819	97.35	EC2.6.1.13
r_0820	1.3;1.3	EC2.4.2.10;EC2.4.2.10
r_0821	570	EC4.1.1.23
r_0831	1643.85	EC2.3.1.61 EC1.8.1.4 EC1.2.4.2
r_0832	649	EC2.3.1.61 EC1.8.1.4 EC1.2.4.2
r_0841	4.853	EC2.7.7.3
r_0842	2.12	EC2.7.1.33
r_0843	0.16	EC6.3.2.1
r_0844	88.99	EC3.1.2.2
r_0845	10.13	EC3.1.2.2
r_0847	0.037	EC3.1.2.2
r_0848	88.99	EC3.1.2.2
r_0849	0.019	EC3.1.2.2
r_0850	88.99	EC3.1.2.2
r_0851	1200	EC2.6.1.39 EC2.6.1.57
r_0852	603	EC6.1.1.20
r_0853	603	EC6.1.1.20
r_0854	20	EC4.1.1.43
r_0855	7	EC6.3.4.13 EC6.3.3.1
r_0882	2.94	EC5.4.2.3
r_0883	3.5;3.5	EC1.8.4.8;EC1.8.4.8
r_0884	38	EC4.1.1.49
r_0885	1.15	EC2.7.7.14
r_0886	357;357	EC2.7.1.11;EC2.7.1.11
r_0887	357;357	EC2.7.1.11;EC2.7.1.11
r_0888	535.7333;535.7333	EC5.4.2.2;EC5.4.2.2
r_0889	73;73	EC1.1.1.44;EC1.1.1.44
r_0890	2.94	EC5.4.2.3
r_0891	311;311	EC1.1.1.95 EC1.1.1.399;EC1.1.1.95 EC1.1.1.399
r_0892	963.1	EC2.7.2.3
r_0893	833;530	EC3.1.3.-;EC5.4.2.11
r_0902	4.4	EC5.4.2.8
r_0903	0.43;0.43;0.43	EC2.7.1.49 EC2.7.4.7;EC2.7.1.49 EC2.7.4.7;EC2.7.1.49 EC2.7.4.7 EC2.7.1.49 EC2.7.4.7
r_0904	3.4	EC2.7.4.2
r_0905	0.53	EC6.3.2.5
r_0906	2.9;2.9;2.9;2.9	EC4.1.1.36;EC4.1.1.36;EC4.1.1.36;EC4.1.1.36
r_0907	535.7333;535.7333;173	EC5.4.2.2;EC5.4.2.2;EC5.4.2.7
r_0908	77.42	EC6.3.2.6
r_0909	2859.5	EC3.5.4.19 EC3.6.1.31 EC1.1.1.23
r_0910	2859.5	EC3.5.4.19 EC3.6.1.31 EC1.1.1.23
r_0911	40	EC4.1.1.21
r_0912	8.6;8.6	EC2.1.2.3 EC3.5.4.10;EC2.1.2.3 EC3.5.4.10
r_0913	69	EC5.3.1.24
r_0914	7	EC6.3.4.13 EC6.3.3.1
r_0915	2.835	EC2.4.2.14
r_0916	0.66;0.66;0.66;0.66;0.66	EC2.7.6.1;EC2.7.6.1;EC2.7.6.1;EC2.7.6.1;EC2.7.6.1
r_0917	804	EC3.1.3.3
r_0918	2.49	EC2.6.1.52
r_0919	161	EC3.5.1.-
r_0920	128	EC1.14.14.-
r_0921	43	EC4.1.2.27
r_0922	900	EC1.-.-.-
r_0929	39	EC1.5.3.17
r_0935	1.2375	EC4.2.1.24
r_0936	39	EC1.5.3.17
r_0937	39	EC1.5.3.17
r_0938	1932	EC4.2.1.51
r_0939	26.3	EC1.3.1.13
r_0940	33.5	EC1.5.5.2
r_0941	5.6	EC6.1.1.15
r_0942	2.19	EC1.3.3.4
r_0943	56	EC3.2.2.3 EC2.4.2.28 EC2.4.2.1
r_0949	59	EC2.4.2.1
r_0950	59	EC2.4.2.1
r_0951	119	EC2.4.2.1
r_0953	0.7	EC1.4.3.5
r_0954	0.103	EC1.4.3.5
r_0955	0.7	EC1.4.3.5
r_0956	0.7	EC1.4.3.5
r_0957	694	EC1.5.1.2
r_0958	60;60	EC6.4.1.1;EC6.4.1.1
r_0959	207;207;207	EC4.1.1.1;EC4.1.1.- EC4.1.1.1 EC4.1.1.43 EC4.1.1.74;EC4.1.1.- EC4.1.1.1
r_0960	207;207;207	EC4.1.1.1;EC4.1.1.- EC4.1.1.1 EC4.1.1.43 EC4.1.1.74;EC4.1.1.- EC4.1.1.1
r_0961	69.9	EC1.2.4.1 EC1.8.1.4 EC2.3.1.12
r_0962	232;232	EC2.7.1.40;EC2.7.1.40
r_0963	1.36	EC2.7.-.- EC1.14.13.- EC2.1.1.201 EC2.1.1.64 EC2.1.1.114
r_0965	0.1	EC2.7.1.26
r_0966	0.1	EC2.7.1.26
r_0967	23.1	EC2.5.1.78
r_0968	0.0135	EC2.5.1.9
r_0969	10.8	EC2.7.1.15
r_0970		
r_0971		
r_0972		
r_0973		
r_0974	0.29;0.29;0.29;0.29	EC1.17.4.1;EC1.17.4.1;EC1.17.4.1;EC1.17.4.1
r_0975	0.29;0.29;0.29;0.29	EC1.17.4.1;EC1.17.4.1;EC1.17.4.1;EC1.17.4.1
r_0976	0.29;0.29;0.29;0.29	EC1.17.4.1;EC1.17.4.1;EC1.17.4.1;EC1.17.4.1
r_0977	0.29;0.29;0.29;0.29	EC1.17.4.1;EC1.17.4.1;EC1.17.4.1;EC1.17.4.1
r_0978	0.29;0.29;0.29;0.29	EC1.17.4.1;EC1.17.4.1;EC1.17.4.1;EC1.17.4.1
r_0979	0.29;0.29;0.29;0.29	EC1.17.4.1;EC1.17.4.1;EC1.17.4.1;EC1.17.4.1
r_0982	2	EC5.3.1.6
r_0983	1.7	EC2.7.1.22 EC2.7.1.173
r_0984	1300	EC5.1.3.1
r_0985	7	EC2.7.-.- EC1.14.13.- EC2.1.1.201 EC2.1.1.64 EC2.1.1.114
r_0986	0.011	EC2.1.1.41
r_0987	28.5	EC3.1.2.12
r_0988	18.8	EC1.5.1.7
r_0989	327.77	EC1.5.1.10
r_0990	0.003	EC4.1.2.13
r_0992	3;1.6	EC2.3.1.255;EC2.3.1.-
r_0993	1.54;1.54	EC2.3.1.50;EC2.3.1.50
r_0995	3.9;3.9	EC6.1.1.11;EC6.1.1.11
r_0996	95.85	EC4.2.3.4 EC2.5.1.19 EC2.7.1.71 EC4.2.1.10 EC1.1.1.25
r_0997	60	EC4.2.3.4 EC2.5.1.19 EC2.7.1.71 EC4.2.1.10 EC1.1.1.25
r_0998	23.1064	EC1.3.1.76 EC4.99.1.4
r_0999	23.1064	EC1.3.1.76 EC4.99.1.4
r_1000	658	EC1.3.1.6
r_1001	1.9	EC2.5.1.16
r_1002	32	EC2.5.1.22
r_1003	43	EC4.1.2.27
r_1004	833;833	EC3.1.3.-;EC3.1.3.-
r_1005	833;833	EC3.1.3.-;EC3.1.3.-
r_1006	0.0427;0.0427	EC2.7.1.91;EC2.7.1.91
r_1007	0.0427;0.0427	EC2.7.1.91;EC2.7.1.91
r_1008		
r_1009		
r_1010	0.076	EC1.14.14.17
r_1011	0.076	EC1.14.14.17
r_1012	1.65	EC2.5.1.21
r_1021	167;167;167	EC1.3.5.1;EC1.3.5.1;EC1.3.5.1
r_1022	201	EC6.2.1.5
r_1023	22.6	EC1.2.1.16
r_1024	3430	EC3.2.1.26
r_1025	24.4	EC2.7.7.4
r_1026	96	EC2.7.7.53 EC2.7.7.5
r_1027	156	EC1.8.1.2
r_1029	67	EC1.14.11.-
r_1030	1643.85	EC2.1.2.10 EC1.8.1.4 EC1.4.4.2
r_1031	2;2	EC6.3.2.17;EC6.3.2.17
r_1032	69	EC3.1.3.2
r_1033	929.04	EC3.1.3.2
r_1034	0.069	EC2.7.6.2
r_1035	0.069	EC2.7.6.2
r_1036	4.1517	EC2.5.1.3 EC2.7.1.50
r_1037	957;957	EC1.11.1.15;EC1.11.1.15
r_1038	33.3;33.3;33.3	EC1.8.1.9;EC1.8.1.9;EC1.8.1.9
r_1039	33.3;900	EC1.8.1.9;EC1.8.1.7
r_1040	43	EC4.1.2.48
r_1041	4080	EC4.2.3.1
r_1042	3.32	EC6.1.1.3
r_1043	3.32	EC6.1.1.3
r_1045	48	EC2.1.1.45
r_1046	7	EC2.1.1.145
r_1047	0.037	EC2.5.1.-
r_1048	13;13	EC2.2.1.2;EC2.2.1.2
r_1049	97.4333;97.4333	EC2.2.1.1;EC2.2.1.1
r_1050	97.4333;97.4333	EC2.2.1.1;EC2.2.1.1
r_1051	157.5;157.5	EC2.4.1.15 EC3.1.3.12;EC2.4.1.15 EC3.1.3.12
r_1054	500	EC5.3.1.1
r_1055	0.0223	EC4.2.1.20
r_1056	350	EC2.6.1.39 EC2.6.1.57
r_1057	1.4	EC6.1.1.2
r_1058	1.4	EC6.1.1.2
r_1063	1200	EC2.6.1.39 EC2.6.1.57
r_1065	670	EC2.6.1.1
r_1066	4.6	EC6.1.1.1
r_1067	4.6	EC6.1.1.1
r_1068	475	EC2.4.1.173
r_1069	3.53	EC2.7.7.23
r_1070	96.99	EC5.1.3.2 EC5.1.3.3
r_1071	987	EC2.7.7.12
r_1072	217	EC2.7.4.14
r_1073	217	EC2.7.4.14
r_1074	6.1	EC2.4.2.9
r_1075	210.8	EC6.3.4.6 EC3.5.1.54
r_1076	0.018	EC4.3.2.3
r_1077	3.2;3.2	EC2.7.1.48;EC2.7.1.48
r_1078	3.2;3.2	EC2.7.1.48;EC2.7.1.48
r_1079	5.8	EC2.7.4.14
r_1080	5.8	EC2.7.4.14
r_1081	0.022233	EC4.1.1.37
r_1082	38	EC2.1.1.107
r_1083	890	EC4.2.1.75
r_1084	93.44;93.44	EC2.7.7.9;EC2.7.7.9
r_1087	1236	EC2.6.1.42
r_1088	1236	EC2.6.1.42
r_1089	50	EC6.1.1.9
r_1090	50	EC6.1.1.9
r_1091	2.9	EC2.4.2.-
r_1092	170	EC1.1.1.9
r_1093	0.283	EC1.1.1.21 EC1.1.1.-
r_1094	0.64	EC2.7.1.17
r_1095	361;361;0.78;361	EC5.4.99.45;EC5.4.99.44;EC5.4.99.25;EC5.4.99.-
r_1619		
r_1838	0.617;0.617	EC2.3.3.14;EC2.3.3.14
r_2029	122	EC2.7.1.35
r_2112	201	EC2.6.1.7
r_2113		
r_2114		
r_2115	283;283	EC1.1.1.1;EC1.1.1.1
r_2116	19.7;19.7;35.9;35.9	EC1.2.1.3;EC1.2.1.3;EC1.2.1.5;EC1.2.1.5
r_2117	1200	EC2.6.1.57 EC2.6.1.7
r_2118	350	EC2.6.1.57 EC2.6.1.7
r_2119	1540	EC2.6.1.57 EC2.6.1.7
r_2126	4.2	EC3.1.3.37
r_2131	58.3	EC1.1.1.42
r_2140	120	EC2.3.1.86
r_2141	120	EC2.3.1.86
r_2142	551	EC2.3.1.41
r_2143	551	EC2.3.1.41
r_2144	551	EC2.3.1.41
r_2145	117.5	EC1.1.1.100
r_2146	117.5	EC1.1.1.100
r_2147	117.5	EC1.1.1.100
r_2148	940000	EC4.2.1.-
r_2149	940000	EC4.2.1.-
r_2150	940000	EC4.2.1.-
r_2151	0.043	EC1.3.1.104
r_2152	0.043	EC1.3.1.104
r_2153	0.043	EC1.3.1.104
r_2154	2.7	EC2.3.1.199
r_2155	13.8	EC2.3.1.199
r_2156	2.7	EC2.3.1.199
r_2157	2.7;2.7	EC2.3.1.199;EC2.3.1.199
r_2158	2.7;2.7	EC2.3.1.199;EC2.3.1.199
r_2159	2.7;2.7	EC2.3.1.199;EC2.3.1.199
r_2160	2.7	EC2.3.1.199
r_2161	117.5	EC1.1.1.330
r_2162	117.5	EC1.1.1.330
r_2163	117.5	EC1.1.1.330
r_2164	117.5	EC1.1.1.330
r_2165	117.5	EC1.1.1.330
r_2166	117.5	EC1.1.1.330
r_2167	117.5	EC1.1.1.330
r_2168	940000	EC4.2.1.134
r_2169	940000	EC4.2.1.134
r_2170	940000	EC4.2.1.134
r_2171	940000	EC4.2.1.134
r_2172	940000	EC4.2.1.134
r_2173	940000	EC4.2.1.134
r_2174	940000	EC4.2.1.134
r_2175	0.043	EC1.3.1.93
r_2176	0.043	EC1.3.1.93
r_2177	0.043	EC1.3.1.93
r_2178	0.043	EC1.3.1.93
r_2179	0.043	EC1.3.1.93
r_2180	0.043	EC1.3.1.93
r_2181	0.043	EC1.3.1.93
r_2182	0.5	EC1.14.19.1
r_2183	0.35	EC1.14.19.1
r_2194	0.029	EC6.2.1.3
r_2195	0.029;0.029	EC6.2.1.3;EC6.2.1.3
r_2196	0.029;0.029	EC6.2.1.3;EC6.2.1.3
r_2197	0.029;0.029	EC6.2.1.3;EC6.2.1.3
r_2198	0.029;0.029	EC6.2.1.3;EC6.2.1.3
r_2199	0.029;0.029	EC6.2.1.3;EC6.2.1.3
r_2200	0.029	EC6.2.1.3
r_2201	0.029;0.029	EC6.2.1.3;EC6.2.1.3
r_2202	0.029;0.029	EC6.2.1.3;EC6.2.1.3
r_2203	0.029;0.029	EC6.2.1.3;EC6.2.1.3
r_2204	0.029;0.029	EC6.2.1.3;EC6.2.1.3
r_2205	0.029;0.029	EC6.2.1.3;EC6.2.1.3
r_2206	0.029	EC6.2.1.3
r_2207	0.029	EC6.2.1.3
r_2208	0.029	EC6.2.1.3
r_2209	0.029	EC6.2.1.3
r_2210	0.029	EC6.2.1.3
r_2211	0.029	EC6.2.1.3
r_2212	0.029	EC6.2.1.3
r_2213		
r_2214		
r_2215		
r_2216		
r_2217		
r_2218		
r_2232	88.99	EC3.1.2.2
r_2233	0.012	EC3.1.2.2
r_2234	88.99	EC3.1.2.2
r_2235	88.99	EC3.1.2.2
r_2236	8.59	EC1.3.3.6
r_2237	8.59	EC1.3.3.6
r_2238	3.47	EC1.3.3.6
r_2239	8.59	EC1.3.3.6
r_2240	8.59	EC1.3.3.6
r_2241	8.59	EC1.3.3.6
r_2242	8.59	EC1.3.3.6
r_2243	8.59	EC1.3.3.6
r_2244	8.59	EC1.3.3.6
r_2245	8.59	EC1.3.3.6
r_2246	8.59	EC1.3.3.6
r_2247	8.59	EC1.3.3.6
r_2248	388	EC4.2.1.119 EC1.1.1.n12
r_2249	388	EC4.2.1.119 EC1.1.1.n12
r_2250	388	EC4.2.1.119 EC1.1.1.n12
r_2251	388	EC4.2.1.119 EC1.1.1.n12
r_2252	388	EC4.2.1.119 EC1.1.1.n12
r_2253	388	EC4.2.1.119 EC1.1.1.n12
r_2254	388	EC4.2.1.119 EC1.1.1.n12
r_2255	388	EC4.2.1.119 EC1.1.1.n12
r_2256	388	EC4.2.1.119 EC1.1.1.n12
r_2257	388	EC4.2.1.119 EC1.1.1.n12
r_2258	388	EC4.2.1.119 EC1.1.1.n12
r_2259	388	EC4.2.1.119 EC1.1.1.n12
r_2260	388	EC4.2.1.119 EC1.1.1.n12
r_2261	388	EC4.2.1.119 EC1.1.1.n12
r_2262	388	EC4.2.1.119 EC1.1.1.n12
r_2263	388	EC4.2.1.119 EC1.1.1.n12
r_2264	388	EC4.2.1.119 EC1.1.1.n12
r_2265	388	EC4.2.1.119 EC1.1.1.n12
r_2266	388	EC4.2.1.119 EC1.1.1.n12
r_2267	388	EC4.2.1.119 EC1.1.1.n12
r_2268	388	EC4.2.1.119 EC1.1.1.n12
r_2269	388	EC4.2.1.119 EC1.1.1.n12
r_2270	388	EC4.2.1.119 EC1.1.1.n12
r_2271	388	EC4.2.1.119 EC1.1.1.n12
r_2272	388	EC4.2.1.119 EC1.1.1.n12
r_2273	388	EC4.2.1.119 EC1.1.1.n12
r_2274	388	EC4.2.1.119 EC1.1.1.n12
r_2275	388	EC4.2.1.119 EC1.1.1.n12
r_2276	388	EC4.2.1.119 EC1.1.1.n12
r_2277	388	EC4.2.1.119 EC1.1.1.n12
r_2278	388	EC4.2.1.119 EC1.1.1.n12
r_2279	388	EC4.2.1.119 EC1.1.1.n12
r_2280	388	EC4.2.1.119 EC1.1.1.n12
r_2281	388	EC4.2.1.119 EC1.1.1.n12
r_2282	388	EC4.2.1.119 EC1.1.1.n12
r_2283	14.8	EC2.3.1.16
r_2284	14.8	EC2.3.1.16
r_2285	14.8	EC2.3.1.16
r_2286	14.8	EC2.3.1.16
r_2287	14.8	EC2.3.1.16
r_2288	14.8	EC2.3.1.16
r_2289	14.8	EC2.3.1.16
r_2290	14.8	EC2.3.1.16
r_2291	14.8	EC2.3.1.16
r_2292	14.8	EC2.3.1.16
r_2293	14.8	EC2.3.1.16
r_2294	14.8	EC2.3.1.16
r_2295	6.5	EC5.3.3.8
r_2296	6.5	EC5.3.3.8
r_2297	6.5	EC5.3.3.8
r_2298	6.5	EC5.3.3.8
r_2299	6.5	EC5.3.3.8
r_2300	6.5	EC5.3.3.8
r_2301	6.5	EC5.3.3.-
r_2302	6.5	EC5.3.3.-
r_2303	9.5	EC1.3.1.34
r_2304	9.5	EC1.3.1.34
r_2305	3.3	EC4.2.1.3
r_2308	0.0918;0.0918	EC2.3.1.15 EC2.3.1.42;EC2.3.1.15 EC2.3.1.42
r_2309	0.0918;0.0918	EC2.3.1.15 EC2.3.1.42;EC2.3.1.15 EC2.3.1.42
r_2310	0.0918	EC2.3.1.15 EC2.3.1.42
r_2311	0.0918	EC2.3.1.15 EC2.3.1.42
r_2312	0.0918;0.0918	EC2.3.1.15 EC2.3.1.42;EC2.3.1.15 EC2.3.1.42
r_2313	0.0918;0.0918	EC2.3.1.15 EC2.3.1.42;EC2.3.1.15 EC2.3.1.42
r_2314	0.0918	EC2.3.1.15 EC2.3.1.42
r_2315	0.0918	EC2.3.1.15 EC2.3.1.42
r_2316	0.0918	EC2.3.1.15 EC2.3.1.42
r_2317	0.0918	EC2.3.1.15 EC2.3.1.42
r_2318	0.0918	EC2.3.1.15 EC2.3.1.42
r_2319	0.0918	EC2.3.1.15 EC2.3.1.42
r_2320	0.0918	EC2.3.1.15 EC2.3.1.42
r_2321	0.0918	EC2.3.1.15 EC2.3.1.42
r_2322	0.0918	EC2.3.1.15 EC2.3.1.42
r_2323	0.0918	EC2.3.1.15 EC2.3.1.42
r_2324	0.0021615	EC1.1.1.101
r_2325	0.0021615	EC1.1.1.101
r_2326	0.0021615	EC1.1.1.101
r_2327	0.0021615	EC1.1.1.101
r_2328	0.0021615	EC1.1.1.101
r_2329	0.0021615	EC1.1.1.101
r_2330	0.0021615	EC1.1.1.101
r_2331	0.0021615	EC1.1.1.101
r_2332	33.75	EC2.3.1.23 EC2.3.1.51
r_2333	0.075;33.75	EC2.3.1.51;EC2.3.1.23 EC2.3.1.51
r_2334	33.75	EC2.3.1.23 EC2.3.1.51
r_2335	0.075;33.75	EC2.3.1.51;EC2.3.1.23 EC2.3.1.51
r_2336	33.75	EC2.3.1.23 EC2.3.1.51
r_2337	0.075;33.75	EC2.3.1.51;EC2.3.1.23 EC2.3.1.51
r_2338	33.75	EC2.3.1.23 EC2.3.1.51
r_2339	0.075;33.75	EC2.3.1.51;EC2.3.1.23 EC2.3.1.51
r_2340	0.075;12.3;12.3	EC2.3.1.51;EC3.1.1.3;EC3.1.1.3
r_2341	0.075;12.3;12.3	EC2.3.1.51;EC3.1.1.3;EC3.1.1.3
r_2342	0.075;12.3;12.3	EC2.3.1.51;EC3.1.1.3;EC3.1.1.3
r_2343	0.075;12.3;12.3	EC2.3.1.51;EC3.1.1.3;EC3.1.1.3
r_2344	11.5733	EC3.1.3.4
r_2345	11.5733	EC3.1.3.4
r_2346	11.5733	EC3.1.3.4
r_2347	11.5733	EC3.1.3.4
r_2348	11.5733	EC3.1.3.4
r_2349	11.5733	EC3.1.3.4
r_2350	11.5733	EC3.1.3.4
r_2351	11.5733	EC3.1.3.4
r_2352	96.67	EC3.1.3.81 EC3.1.3.4
r_2353	96.67	EC3.1.3.81 EC3.1.3.4
r_2354	96.67	EC3.1.3.81 EC3.1.3.4
r_2355	96.67	EC3.1.3.81 EC3.1.3.4
r_2356	96.67	EC3.1.3.81 EC3.1.3.4
r_2357	96.67	EC3.1.3.81 EC3.1.3.4
r_2358	96.67	EC3.1.3.81 EC3.1.3.4
r_2359	96.67	EC3.1.3.81 EC3.1.3.4
r_2360	11.5733	EC3.1.3.- EC3.1.3.4
r_2361	11.5733	EC3.1.3.- EC3.1.3.4
r_2362	11.5733	EC3.1.3.- EC3.1.3.4
r_2363	11.5733	EC3.1.3.- EC3.1.3.4
r_2364	11.5733	EC3.1.3.- EC3.1.3.4
r_2365	11.5733	EC3.1.3.- EC3.1.3.4
r_2366	11.5733	EC3.1.3.- EC3.1.3.4
r_2367	11.5733	EC3.1.3.- EC3.1.3.4
r_2368	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2369	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2370	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2371	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2372	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2373	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2374	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2375	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2376	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2377	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2378	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2379	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2380	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2381	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2382	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2383	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
