S_cerevisiae	R_toruloides	P_chrysogenum	L_kluyveri	A_terreus	A_oryzae	A_niger	A_nidulans	M_alpina	E_gossypii	K_lactis	Y_lipolytica	K_phaffii	N_crassa
2.7.1.40	2.7.4.8	2.7.1.40		2.7.1.31	2.6.1.9	2.7.1.15	3.2.2.4	2.7.1.32		2.6.1.62	3.1.3.77	2.7.8.8	3.1.3.4
2.7.1.48	2.7.4.9	2.7.1.48		2.7.1.32	2.7.1.1	2.7.1.17	3.3.1.1	2.7.1.33		2.6.1.78	3.1.4.11	2.8.1.6	3.1.3.5
2.7.1.49	2.7.6.1	2.7.1.50		2.7.1.33	2.7.1.101	2.7.1.174	3.5.1.1	2.7.1.35		2.6.1.85	3.1.4.17	3.1.1.13	3.1.3.7
2.7.1.50	2.7.6.2	2.7.1.59		2.7.1.35	2.7.1.105	2.7.1.2	3.5.1.2	2.7.1.36		2.6.1.9	3.1.4.4	3.1.1.3	3.1.3.75
2.7.1.6	2.7.6.3	2.7.1.6		2.7.1.36	2.7.1.11	2.7.1.20	3.5.1.4	2.7.1.39		2.7.1.1	3.1.4.46	3.1.1.31	3.1.3.77
2.7.1.67	2.7.7.1	2.7.1.67		2.7.1.39	2.7.1.12	2.7.1.23	3.5.1.41	2.7.1.40		2.7.1.105	3.2.1.14	3.1.1.5	3.1.4.3
2.7.1.68	2.7.7.12	2.7.1.68		2.7.1.40	2.7.1.137	2.7.1.24	3.5.1.54	2.7.1.46		2.7.1.108	3.2.1.21	3.1.1.65	3.1.4.4
2.7.1.71	2.7.7.13	2.7.1.71		2.7.1.48	2.7.1.15	2.7.1.25	3.5.1.9	2.7.1.48		2.7.1.11	3.2.1.26	3.1.2.1	3.2.1.20
2.7.1.82	2.7.7.14	2.7.1.73		2.7.1.49	2.7.1.16	2.7.1.26	3.5.2.3	2.7.1.49		2.7.1.12	3.2.1.3	3.1.2.12	3.2.1.21
2.7.1.86	2.7.7.15	2.7.1.86		2.7.1.50	2.7.1.17	2.7.1.29	3.5.2.5	2.7.1.5		2.7.1.137	3.2.1.33	3.1.2.4	3.2.1.22
2.7.1.91	2.7.7.18	2.7.2.1		2.7.1.6	2.7.1.2	2.7.1.3	3.5.3.1	2.7.1.50		2.7.1.144	3.2.1.58	3.1.2.6	3.2.1.23
2.7.11.1	2.7.7.2	2.7.2.11		2.7.1.67	2.7.1.20	2.7.1.30	3.5.3.19	2.7.1.52		2.7.1.15	3.2.2.3	3.1.3.1	3.2.1.26
