S_cerevisiae	R_toruloides	P_chrysogenum	L_kluyveri	A_terreus	A_oryzae	A_niger	A_nidulans	M_alpina	E_gossypii	K_lactis	Y_lipolytica	K_phaffii	N_crassa
3.2.1.106	3.6.1.41	3.3.1.1		3.2.1.22	3.1.3.27	3.1.4.17	5.4.2.1	3.1.4.41		3.1.3.12	5.3.1.8	4.2.1.3	4.2.1.17
3.2.1.113	3.6.1.42	3.4.11.2		3.2.1.23	3.1.3.3	3.1.4.3	5.4.2.2	3.1.4.46		3.1.3.15	5.3.1.9	4.2.1.33	4.2.1.18
3.2.1.14	3.6.1.5	3.5.1.1		3.2.1.26	3.1.3.36	3.1.4.4	5.4.2.3	3.1.8.1		3.1.3.2	5.3.3.2	4.2.1.36	4.2.1.19
3.2.1.15	3.6.1.52	3.5.1.10		3.2.1.28	3.1.3.4	3.1.4.46	5.4.2.8	3.2.1.1		3.1.3.21	5.4.2.1	4.2.1.51	4.2.1.2
3.2.1.20	3.6.1.60	3.5.1.11		3.2.1.3	3.1.3.46	3.1.6.6	5.4.99.5	3.2.1.10		3.1.3.27	5.4.2.2	4.2.1.75	4.2.1.20
3.2.1.21	3.6.1.9	3.5.1.16		3.2.1.31	3.1.3.5	3.2.1.1	5.4.99.7	3.2.1.113		3.1.3.3	5.4.2.3	4.2.1.9	4.2.1.22
3.2.1.22	3.6.3.1	3.5.1.19		3.2.1.33	3.1.3.56	3.2.1.14	5.5.1.4	3.2.1.14		3.1.3.35	5.4.2.8	4.2.1.90	4.2.1.24
3.2.1.24	3.6.3.14	3.5.1.2		3.2.1.37	3.1.3.57	3.2.1.15	6.1.1.19	3.2.1.20		3.1.3.36	5.4.99.5	4.2.3.1	4.2.1.3
3.2.1.26	3.6.3.54	3.5.1.25		3.2.1.39	3.1.3.67	3.2.1.165	6.1.1.2	3.2.1.21		3.1.3.37	5.4.99.7	4.2.3.4	4.2.1.33
3.2.1.28	3.6.3.6	3.5.1.33		3.2.1.4	3.1.3.7	3.2.1.20	6.1.1.21	3.2.1.22		3.1.3.4	5.5.1.4	4.2.3.5	4.2.1.36
3.2.1.3	3.6.3.7	3.5.1.4		3.2.1.52	3.1.3.8	3.2.1.21	6.1.1.22	3.2.1.23		3.1.3.46	6.1.1.2	4.3.1.17	4.2.1.51
3.2.1.33	3.6.3.8	3.5.1.41		3.2.1.55	3.1.3.9	3.2.1.22	6.1.1.23	3.2.1.28		3.1.3.5	6.1.1.4	4.3.1.19	4.2.1.55
3.2.1.58	3.7.1.3	3.5.1.5		3.2.1.58	3.1.4.11	3.2.1.23	6.1.1.6	3.2.1.3		3.1.3.64	6.1.1.5	4.3.2.1	4.2.1.59
3.2.1.6	4.1.1.1	3.5.1.54		3.2.1.78	3.1.4.12	3.2.1.26	6.2.1.1	3.2.1.33		3.1.3.67	6.1.1.9	4.3.2.2	4.2.1.69
3.2.1.84	4.1.1.15	3.5.1.6		3.2.1.91	3.1.4.17	3.2.1.28	6.2.1.3	3.2.1.52		3.1.3.68	6.2.1.1	4.3.2.3	4.2.1.75
3.2.2.3	4.1.1.17	3.5.1.9		3.3.1.1	3.1.4.3	3.2.1.3	6.2.1.30	3.2.1.58		3.1.3.7	6.2.1.3	4.3.3.6	4.2.1.79
3.3.1.1	4.1.1.21	3.5.2.2		3.5.1.1	3.1.4.4	3.2.1.33	6.2.1.4	3.3.1.1		3.1.3.77	6.2.1.4	4.4.1.1	4.2.1.9
3.3.2.6	4.1.1.23	3.5.2.3		3.5.1.10	3.1.6.1	3.2.1.37	6.2.1.5	3.3.2.10		3.1.3.81	6.2.1.5	4.4.1.5	4.2.1.92
3.4.11.18	4.1.1.3	3.5.2.5		3.5.1.16	3.1.7.2	3.2.1.4	6.3.1.2	3.3.2.6		3.1.3.87	6.3.1.2	4.4.1.8	4.2.1.99
3.4.11.22	4.1.1.33	3.5.2.6		3.5.1.19	3.2.1.1	3.2.1.52	6.3.2.1	3.4.24.84		3.1.4.11	6.3.2.1	4.6.1.1	4.2.3.1
3.4.13.18	4.1.1.36	3.5.2.9		3.5.1.2	3.2.1.113	3.2.1.55	6.3.2.12	3.5.1.1		3.1.4.17	6.3.2.17	4.99.1.1	4.2.3.4
3.4.19.13	4.1.1.37	3.5.3.1		3.5.1.23	3.2.1.132	3.2.1.58	6.3.2.17	3.5.1.14		3.1.4.2	6.3.2.2	4.99.1.4	4.2.3.5
3.5.1.1	4.1.1.43	3.5.3.11		3.5.1.25	3.2.1.139	3.2.1.67	6.3.2.2	3.5.1.2		3.1.4.35	6.3.2.3	5.1.3.15	4.3.1.17
3.5.1.14	4.1.1.48	3.5.3.4		3.5.1.33	3.2.1.14	3.2.1.78	6.3.2.26	3.5.1.23		3.1.4.4	6.3.2.5	5.3.1.1	4.3.1.18
3.5.1.19	4.1.1.49	3.5.4.1		3.5.1.4	3.2.1.15	3.2.1.80	6.3.2.3	3.5.1.25		3.1.4.46	6.3.2.6	5.3.1.16	4.3.1.19
3.5.1.2	4.1.1.50	3.5.4.10		3.5.1.41	3.2.1.20	3.2.1.91	6.3.2.5	3.5.1.3		3.1.4.53	6.3.3.1	5.3.1.23	4.3.1.4
3.5.1.3	4.1.1.72	3.5.4.16		3.5.1.49	3.2.1.21	3.2.2.1	6.3.2.6	3.5.1.41		3.1.6.1	6.3.3.2	5.3.1.24	4.3.2.1
3.5.1.4	4.1.1.74	3.5.4.19		3.5.1.5	3.2.1.22	3.2.2.10	6.3.3.1	3.5.1.5		3.1.6.8	6.3.4.10	5.3.1.6	4.3.2.2
3.5.1.41	4.1.2.13	3.5.4.2		3.5.1.54	3.2.1.23	3.2.2.14	6.3.3.2	3.5.1.9		3.2.1.10	6.3.4.11	5.3.1.8	4.4.1.1
3.5.1.54	4.1.2.25	3.5.4.25		3.5.1.6	3.2.1.24	3.2.2.3	6.3.4.1	3.5.2.17		3.2.1.106	6.3.4.13	5.3.1.9	4.4.1.22
3.5.1.89	4.1.2.27	3.5.4.26		3.5.1.9	3.2.1.25	3.2.2.4	6.3.4.13	3.5.2.3		3.2.1.108	6.3.4.14	5.3.3.2	4.4.1.8
3.5.1.9	4.1.2.48	3.5.4.3		3.5.2.17	3.2.1.26	3.2.2.5	6.3.4.14	3.5.2.5		3.2.1.113	6.3.4.15	5.3.3.8	4.6.1.1
3.5.2.3	4.1.2.9	3.5.4.4		3.5.2.2	3.2.1.28	3.3.1.1	6.3.4.2	3.5.2.6		3.2.1.14	6.3.4.2	5.4.2.11	4.6.1.13
3.5.2.5	4.1.3.1	3.5.4.5		3.5.2.3	3.2.1.3	3.3.1.2	6.3.4.3	3.5.2.9		3.2.1.20	6.3.4.3	5.4.2.2	4.99.1.1
3.5.2.9	4.1.3.17	3.5.4.6		3.5.2.5	3.2.1.31	3.4.11.1	6.3.4.4	3.5.3.1		3.2.1.21	6.3.4.4	5.4.2.3	5.1.1.1
3.5.3.1	4.1.3.27	3.5.4.9		3.5.2.9	3.2.1.33	3.5.1.1	6.3.4.5	3.5.3.19		3.2.1.23	6.3.4.5	5.4.2.8	5.1.1.18
3.5.3.4	4.1.3.30	3.5.5.1		3.5.3.1	3.2.1.37	3.5.1.10	6.3.4.6	3.5.3.4		3.2.1.26	6.3.4.6	5.4.99.12	5.1.1.3
3.5.4.1	4.1.3.38	3.5.99.6		3.5.3.11	3.2.1.4	3.5.1.16	6.3.5.2	3.5.4.10		3.2.1.28	6.3.4.9	5.4.99.25	5.1.3.1
3.5.4.10	4.1.3.4	3.5.99.7		3.5.3.12	3.2.1.52	3.5.1.19	6.3.5.3	3.5.4.12		3.2.1.48	6.3.5.1	5.4.99.5	5.1.3.15
3.5.4.12	4.1.99.12	3.6.1.1		3.5.3.9	3.2.1.55	3.5.1.2	6.3.5.4	3.5.4.16		3.2.1.58	6.3.5.2	5.4.99.7	5.1.3.2
3.5.4.16	4.2.1.10	3.6.1.11		3.5.4.1	3.2.1.58	3.5.1.25	6.3.5.5	3.5.4.19		3.2.1.74	6.3.5.3	5.5.1.4	5.1.3.3
3.5.4.19	4.2.1.11	3.6.1.13		3.5.4.10	3.2.1.67	3.5.1.33	6.4.1.1	3.5.4.25		3.2.1.84	6.3.5.4	6.1.1.1	5.2.1.2
3.5.4.2	4.2.1.119	3.6.1.15		3.5.4.12	3.2.1.78	3.5.1.4	6.4.1.2	3.5.4.3		3.2.2.1	6.3.5.5	6.1.1.10	5.3.1.1
3.5.4.25	4.2.1.130	3.6.1.22		3.5.4.16	3.2.1.8	3.5.1.41		3.5.4.4		3.2.2.3	6.4.1.1	6.1.1.11	5.3.1.16
3.5.4.26	4.2.1.134	3.6.1.23		3.5.4.19	3.2.1.91	3.5.1.49		3.5.4.5		3.2.2.5	6.4.1.2	6.1.1.12	5.3.1.23
3.5.4.3	4.2.1.17	3.6.1.31		3.5.4.2	3.2.1.99	3.5.1.5		3.5.4.6		3.2.2.6	6.4.1.4	6.1.1.14	5.3.1.24
3.5.4.5	4.2.1.19	3.6.1.6		3.5.4.25	3.2.2.1	3.5.1.54		3.5.4.9		3.3.1.1		6.1.1.15	5.3.1.5
3.5.4.6	4.2.1.2	3.6.3.1		3.5.4.3	3.2.2.10	3.5.1.9		3.5.5.1		3.3.2.10		6.1.1.16	5.3.1.6
3.5.4.9	4.2.1.20	3.6.3.14		3.5.4.4	3.2.2.14	3.5.2.17		3.5.99.2		3.4.19.13		6.1.1.17	5.3.1.8
3.6.1.1	4.2.1.22	3.6.3.6		3.5.4.5	3.2.2.3	3.5.2.3		3.5.99.6		3.5.1.1		6.1.1.18	5.3.1.9
3.6.1.10	4.2.1.24	3.7.1.1		3.5.4.6	3.2.2.5	3.5.2.5		3.6.1.1		3.5.1.19		6.1.1.19	5.3.3.2
3.6.1.11	4.2.1.3	3.7.1.2		3.5.4.9	3.3.1.1	3.5.2.9		3.6.1.11		3.5.1.2		6.1.1.2	5.4.2.1
3.6.1.13	4.2.1.33	3.7.1.3		3.5.5.1	3.4.11.2	3.5.3.1		3.6.1.13		3.5.1.23		6.1.1.20	5.4.2.2
3.6.1.22	4.2.1.36	4.1.1.1		3.5.99.6	3.5.1.1	3.5.3.19		3.6.1.17		3.5.1.38		6.1.1.21	5.4.2.3
3.6.1.23	4.2.1.51	4.1.1.15		3.6.1.1	3.5.1.10	3.5.3.4		3.6.1.19		3.5.1.4		6.1.1.22	5.4.2.6
3.6.1.25	4.2.1.75	4.1.1.17		3.6.1.13	3.5.1.16	3.5.3.7		3.6.1.22		3.5.1.54		6.1.1.3	5.4.3.8
3.6.1.29	4.2.1.79	4.1.1.2		3.6.1.19	3.5.1.19	3.5.4.1		3.6.1.23		3.5.2.17		6.1.1.4	5.4.99.5
3.6.1.31	4.2.1.9	4.1.1.21		3.6.1.22	3.5.1.2	3.5.4.10		3.6.1.29		3.5.2.3		6.1.1.5	5.4.99.7
3.6.1.42	4.2.3.1	4.1.1.23		3.6.1.23	3.5.1.25	3.5.4.12		3.6.1.31		3.5.2.5		6.1.1.6	5.4.99.9
3.6.1.43	4.2.3.4	4.1.1.28		3.6.1.31	3.5.1.4	3.5.4.13		3.6.1.43		3.5.3.1		6.1.1.7	5.5.1.4
3.6.1.5	4.2.3.5	4.1.1.33		3.6.1.6	3.5.1.41	3.5.4.16		3.6.1.9		3.5.3.11		6.1.1.9	5.5.1.5
3.6.1.52	4.3.1.16	4.1.1.36		3.6.3.1	3.5.1.49	3.5.4.19		3.6.3.1		3.5.3.19		6.2.1.1	6.1.1.1
3.6.1.55	4.3.1.17	4.1.1.37		3.6.3.10	3.5.1.5	3.5.4.2		3.6.3.10		3.5.3.4		6.2.1.2	6.1.1.10
3.6.1.60	4.3.1.19	4.1.1.41		3.6.3.14	3.5.1.54	3.5.4.25		3.6.3.14		3.5.4.1		6.2.1.3	6.1.1.11
3.6.1.9	4.3.2.1	4.1.1.43		3.6.3.4	3.5.1.6	3.5.4.26		3.6.3.4		3.5.4.10		6.2.1.4	6.1.1.12
3.6.3.1	4.3.2.2	4.1.1.45		3.6.3.6	3.5.1.9	3.5.4.3		3.6.3.6		3.5.4.12		6.2.1.5	6.1.1.14
3.6.3.14	4.3.2.3	4.1.1.48		3.6.3.7	3.5.2.17	3.5.4.4		3.6.3.7		3.5.4.14		6.3.1.2	6.1.1.15
3.6.3.3	4.3.3.6	4.1.1.49		3.6.3.8	3.5.2.2	3.5.4.5		3.7.1.1		3.5.4.16		6.3.2.1	6.1.1.16
3.6.3.54	4.4.1.1	4.1.1.50		3.7.1.1	3.5.2.3	3.5.4.6		3.7.1.2		3.5.4.17		6.3.2.17	6.1.1.17
3.6.3.6	4.4.1.17	4.1.1.65		3.7.1.2	3.5.2.5	3.5.4.9		3.7.1.3		3.5.4.19		6.3.2.2	6.1.1.18
3.6.3.7	4.4.1.5	4.1.2.13		3.7.1.3	3.5.2.6	3.5.5.1		3.7.1.5		3.5.4.2		6.3.2.3	6.1.1.19
3.6.3.8	4.4.1.8	4.1.2.22		4.1.1.1	3.5.2.7	3.5.99.2		4.1.1.15		3.5.4.25		6.3.2.5	6.1.1.2
3.7.1.2	4.6.1.1	4.1.2.25		4.1.1.15	3.5.2.9	3.5.99.6		4.1.1.17		3.5.4.3		6.3.2.6	6.1.1.20
3.7.1.3	4.99.1.1	4.1.2.4		4.1.1.17	3.5.3.1	3.6.1.1		4.1.1.21		3.5.4.4		6.3.3.1	6.1.1.21
4.1.1.1	4.99.1.4	4.1.2.40		4.1.1.2	3.5.3.11	3.6.1.13		4.1.1.23		3.5.4.5		6.3.3.2	6.1.1.22
4.1.1.15	5.1.3.1	4.1.2.5		4.1.1.21	3.5.3.19	3.6.1.15		4.1.1.28		3.5.4.6		6.3.4.10	6.1.1.3
4.1.1.17	5.1.3.15	4.1.2.9		4.1.1.23	3.5.3.4	3.6.1.19		4.1.1.32		3.5.4.9		6.3.4.11	6.1.1.4
4.1.1.21	5.1.3.2	4.1.3.1		4.1.1.28	3.5.3.8	3.6.1.22		4.1.1.33		3.5.5.1		6.3.4.13	6.1.1.5
4.1.1.23	5.1.3.3	4.1.3.27		4.1.1.33	3.5.4.1	3.6.1.23		4.1.1.35		3.5.5.4		6.3.4.14	6.1.1.6
4.1.1.3	5.3.1.1	4.1.3.30		4.1.1.36	3.5.4.10	3.6.1.3		4.1.1.36		3.5.99.6		6.3.4.15	6.1.1.7
4.1.1.33	5.3.1.16	4.1.3.38		4.1.1.37	3.5.4.12	3.6.1.31		4.1.1.37		3.6.1.1		6.3.4.2	6.1.1.9
4.1.1.36	5.3.1.23	4.1.3.4		4.1.1.45	3.5.4.16	3.6.1.6		4.1.1.45		3.6.1.11		6.3.4.21	6.2.1.1
4.1.1.37	5.3.1.24	4.1.3.40		4.1.1.46	3.5.4.19	3.6.3.10		4.1.1.48		3.6.1.13		6.3.4.3	6.2.1.12
4.1.1.43	5.3.1.6	4.1.3.6		4.1.1.48	3.5.4.2	3.6.3.14		4.1.1.49		3.6.1.18		6.3.4.4	6.2.1.16
4.1.1.48	5.3.1.8	4.1.99.12		4.1.1.49	3.5.4.25	3.6.3.6		4.1.1.50		3.6.1.19		6.3.4.5	6.2.1.17
4.1.1.49	5.3.1.9	4.2.1.10		4.1.1.50	3.5.4.26	3.6.3.8		4.1.1.65		3.6.1.21		6.3.4.6	6.2.1.2
4.1.1.50	5.3.3.2	4.2.1.104		4.1.1.6	3.5.4.3	3.7.1.1		4.1.1.9		3.6.1.22		6.3.4.9	6.2.1.3
4.1.1.65	5.3.3.8	4.2.1.109		4.1.1.65	3.5.4.4	3.7.1.2		4.1.2.13		3.6.1.29		6.3.5.1	6.2.1.5
4.1.1.74	5.4.2.10	4.2.1.11		4.1.1.7	3.5.4.5	3.7.1.3		4.1.2.19		3.6.1.31		6.3.5.2	6.3.1.2
4.1.2.13	5.4.2.11	4.2.1.17		4.1.1.74	3.5.4.6	3.7.1.5		4.1.2.25		3.6.1.39		6.3.5.3	6.3.2.1
4.1.2.25	5.4.2.2	4.2.1.18		4.1.2.13	3.5.4.9	4.1.1.1		4.1.2.27		3.6.1.40		6.3.5.4	6.3.2.12
4.1.2.27	5.4.2.3	4.2.1.19		4.1.2.21	3.5.5.1	4.1.1.15		4.1.2.5		3.6.1.43		6.3.5.5	6.3.2.17
4.1.2.48	5.4.2.7	4.2.1.2		4.1.2.25	3.5.99.6	4.1.1.17		4.1.3.1		3.6.1.45		6.3.5.6	6.3.2.2
4.1.3.1	5.4.2.8	4.2.1.20		4.1.2.27	3.5.99.7	4.1.1.2		4.1.3.27		3.6.1.5		6.3.5.7	6.3.2.3
4.1.3.13	5.4.99.25	4.2.1.22		4.1.2.4	3.6.1.1	4.1.1.21		4.1.3.4		3.6.1.6		6.4.1.1	6.3.2.4
4.1.3.17	5.4.99.28	4.2.1.24		4.1.2.5	3.6.1.11	4.1.1.23		4.1.3.40		3.6.1.8		6.4.1.2	6.3.2.5
4.1.3.27	5.4.99.44	4.2.1.3		4.1.3.1	3.6.1.13	4.1.1.28		4.1.3.6		3.6.1.9			6.3.2.6
4.1.3.30	5.4.99.45	4.2.1.33		4.1.3.27	3.6.1.19	4.1.1.33		4.1.3.81		3.6.2.2			6.3.3.1
4.1.3.38	5.4.99.5	4.2.1.36		4.1.3.30	3.6.1.22	4.1.1.36		4.1.99.12		3.6.5.1			6.3.3.2
4.1.99.12	5.4.99.7	4.2.1.51		4.1.3.4	3.6.1.23	4.1.1.37		4.1.99.17		3.6.5.2			6.3.4.13
4.2.1.10	5.5.1.19	4.2.1.52		4.1.3.6	3.6.1.31	4.1.1.43		4.2.1.1		3.6.5.3			6.3.4.2
4.2.1.11	5.5.1.4	4.2.1.6		4.1.99.12	3.6.1.6	4.1.1.44		4.2.1.10		3.6.5.4			6.3.4.3
4.2.1.119	6.1.1.1	4.2.1.61		4.2.1.1	3.6.3.1	4.1.1.46		4.2.1.109		3.6.5.5			6.3.4.4
4.2.1.130	6.1.1.10	4.2.1.70		4.2.1.10	3.6.3.10	4.1.1.48		4.2.1.11		3.6.5.6			6.3.4.5
4.2.1.134	6.1.1.11	4.2.1.75		4.2.1.104	3.6.3.14	4.1.1.49		4.2.1.134		4.1.1.1			6.3.5.1
4.2.1.155	6.1.1.12	4.2.1.79		4.2.1.109	3.6.3.4	4.1.1.50		4.2.1.17		4.1.1.11			6.3.5.2
4.2.1.19	6.1.1.14	4.2.1.84		4.2.1.11	3.6.3.6	4.1.1.6		4.2.1.18		4.1.1.15			6.3.5.3
4.2.1.2	6.1.1.15	4.2.1.9		4.2.1.118	3.6.3.7	4.1.1.65		4.2.1.19		4.1.1.17			6.3.5.4
4.2.1.20	6.1.1.16	4.2.1.99		4.2.1.17	3.6.3.8	4.1.1.7		4.2.1.2		4.1.1.21			6.3.5.5
4.2.1.22	6.1.1.17	4.2.3.1		4.2.1.18	3.7.1.1	4.1.2.13		4.2.1.20		4.1.1.23			6.4.1.1
4.2.1.24	6.1.1.18	4.2.3.3		4.2.1.19	3.7.1.2	4.1.2.14		4.2.1.22		4.1.1.3			6.4.1.2
4.2.1.3	6.1.1.19	4.2.3.4		4.2.1.2	3.7.1.3	4.1.2.19		4.2.1.24		4.1.1.33			6.4.1.4
4.2.1.33	6.1.1.2	4.2.3.5		4.2.1.20	4.1.1.1	4.1.2.2		4.2.1.3		4.1.1.36			
4.2.1.36	6.1.1.20	4.3.1.17		4.2.1.22	4.1.1.11	4.1.2.25		4.2.1.33		4.1.1.37			
4.2.1.51	6.1.1.21	4.3.1.19		4.2.1.24	4.1.1.15	4.1.2.41		4.2.1.36		4.1.1.48			
4.2.1.69	6.1.1.22	4.3.1.25		4.2.1.3	4.1.1.17	4.1.2.5		4.2.1.47		4.1.1.49			
4.2.1.75	6.1.1.3	4.3.2.1		4.2.1.33	4.1.1.19	4.1.2.53		4.2.1.51		4.1.1.50			
4.2.1.79	6.1.1.4	4.3.2.2		4.2.1.36	4.1.1.2	4.1.2.54		4.2.1.75		4.1.1.65			
4.2.1.9	6.1.1.5	4.3.2.3		4.2.1.40	4.1.1.21	4.1.2.9		4.2.1.9		4.1.2.12			
4.2.1.96	6.1.1.6	4.4.1.1		4.2.1.51	4.1.1.23	4.1.3.1		4.2.3.1		4.1.2.13			
4.2.3.1	6.1.1.7	4.4.1.5		4.2.1.52	4.1.1.28	4.1.3.27		4.2.3.12		4.1.2.17			
4.2.3.4	6.1.1.9	4.4.1.8		4.2.1.58	4.1.1.33	4.1.3.30		4.2.3.4		4.1.2.25			
4.2.3.5	6.2.1.1	4.6.1.1		4.2.1.6	4.1.1.36	4.1.3.38		4.2.3.5		4.1.2.27			
4.3.1.16	6.2.1.5	4.6.1.13		4.2.1.61	4.1.1.37	4.1.3.40		4.3.1.12		4.1.2.5			
4.3.1.17	6.3.1.14	4.99.1.1		4.2.1.66	4.1.1.41	4.1.3.6		4.3.1.17		4.1.2.8			
4.3.1.18	6.3.1.2	4.99.1.4		4.2.1.79	4.1.1.43	4.1.99.12		4.3.1.19		4.1.3.1			
4.3.1.19	6.3.1.20	5.1.1.4		4.2.1.9	4.1.1.45	4.2.1.10		4.3.2.1		4.1.3.13			
4.3.2.1	6.3.2.1	5.1.3.1		4.2.1.99	4.1.1.48	4.2.1.101		4.3.2.2		4.1.3.27			
4.3.2.2	6.3.2.12	5.1.3.2		4.2.3.1	4.1.1.49	4.2.1.11		4.4.1.1		4.1.3.30			
4.3.2.3	6.3.2.17	5.1.3.3		4.2.3.4	4.1.1.50	4.2.1.146		4.4.1.17		4.1.3.38			
4.3.3.6	6.3.2.2	5.1.3.4		4.2.3.5	4.1.1.65	4.2.1.17		4.4.1.5		4.1.99.12			
4.4.1.1	6.3.2.3	5.2.1.2		4.2.99.21	4.1.2.13	4.2.1.19		4.4.1.8		4.2.1.1			
4.4.1.17	6.3.2.5	5.3.1.1		4.3.1.17	4.1.2.22	4.2.1.2		4.6.1.1		4.2.1.10			
4.4.1.25	6.3.2.6	5.3.1.16		4.3.1.19	4.1.2.25	4.2.1.20		4.99.1.1		4.2.1.109			
4.4.1.5	6.3.3.1	5.3.1.24		4.3.2.1	4.1.2.27	4.2.1.22		5.1.3.1		4.2.1.11			
4.4.1.8	6.3.3.2	5.3.1.6		4.3.2.2	4.1.2.4	4.2.1.24		5.1.3.2		4.2.1.114			
4.6.1.1	6.3.4.10	5.3.1.8		4.4.1.1	4.1.2.40	4.2.1.3		5.1.99.1		4.2.1.116			
4.99.1.1	6.3.4.11	5.3.1.9		4.4.1.17	4.1.2.5	4.2.1.32		5.1.99.3		4.2.1.122			
4.99.1.4	6.3.4.13	5.3.3.2		4.4.1.22	4.1.2.9	4.2.1.33		5.2.1.2		4.2.1.134			
5.1.3.1	6.3.4.14	5.4.2.1		4.4.1.5	4.1.3.1	4.2.1.34		5.3.1.1		4.2.1.17			
5.1.3.15	6.3.4.15	5.4.2.2		4.4.1.8	4.1.3.22	4.2.1.36		5.3.1.14		4.2.1.19			
5.1.3.2	6.3.4.2	5.4.2.3		4.6.1.1	4.1.3.27	4.2.1.39		5.3.1.16		4.2.1.2			
5.1.3.3	6.3.4.21	5.4.2.8		4.6.1.13	4.1.3.30	4.2.1.51		5.3.1.23		4.2.1.20			
5.2.1.2	6.3.4.3	5.4.3.8		4.99.1.1	4.1.3.38	4.2.1.6		5.3.1.24		4.2.1.22			
5.3.1.1	6.3.4.4	5.4.99.16		4.99.1.4	4.1.3.4	4.2.1.61		5.3.1.6		4.2.1.24			
5.3.1.16	6.3.4.5	5.4.99.5		5.1.3.1	4.1.3.6	4.2.1.75		5.3.1.8		4.2.1.3			
5.3.1.24	6.3.4.6	5.4.99.7		5.1.3.2	4.2.1.1	4.2.1.79		5.3.1.9		4.2.1.33			
5.3.1.6	6.3.4.9	5.5.1.4		5.1.3.3	4.2.1.10	4.2.1.9		5.3.3.2		4.2.1.36			
5.3.1.8	6.3.5.1	6.1.1.1		5.1.3.4	4.2.1.104	4.2.1.90		5.3.3.5		4.2.1.51			
5.3.1.9	6.3.5.2	6.1.1.10		5.2.1.2	4.2.1.11	4.2.1.99		5.4.2.1		4.2.1.55			
5.3.3.2	6.3.5.3	6.1.1.11		5.3.1.1	4.2.1.17	4.2.3.1		5.4.2.2		4.2.1.59			
5.3.3.8	6.3.5.4	6.1.1.12		5.3.1.16	4.2.1.18	4.2.3.3		5.4.2.3		4.2.1.74			
5.4.2.11	6.3.5.5	6.1.1.14		5.3.1.23	4.2.1.19	4.2.3.4		5.4.2.7		4.2.1.75			
5.4.2.2	6.3.5.7	6.1.1.15		5.3.1.24	4.2.1.2	4.2.3.5		5.4.2.8		4.2.1.79			
5.4.2.3	6.4.1.1	6.1.1.16		5.3.1.6	4.2.1.20	4.3.1.17		5.4.99.2		4.2.1.9			
5.4.2.7	6.4.1.2	6.1.1.17		5.3.1.8	4.2.1.22	4.3.1.19		5.4.99.5		4.2.1.91			
5.4.2.8	6.4.1.4	6.1.1.18		5.3.1.9	4.2.1.24	4.3.2.1		5.4.99.7		4.2.3.1			
5.4.99.25		6.1.1.19		5.3.3.2	4.2.1.3	4.3.2.2		5.5.1.4		4.2.3.4			
5.4.99.28		6.1.1.2		5.4.2.1	4.2.1.33	4.3.3.6		6.1.1.10		4.2.3.5			
5.4.99.44		6.1.1.20		5.4.2.2	4.2.1.34	4.4.1.1		6.1.1.11		4.3.1.17			
5.4.99.45		6.1.1.21		5.4.2.3	4.2.1.36	4.4.1.17		6.1.1.13		4.3.1.19			
5.4.99.5		6.1.1.22		5.4.2.8	4.2.1.49	4.4.1.22		6.1.1.17		4.3.2.1			
5.4.99.7		6.1.1.3		5.4.3.8	4.2.1.51	4.4.1.5		6.2.1.1		4.3.2.2			
5.5.1.4		6.1.1.4		5.4.99.5	4.2.1.52	4.4.1.8		6.2.1.16		4.3.3.6			
6.1.1.1		6.1.1.5		5.4.99.7	4.2.1.58	4.6.1.1		6.2.1.3		4.4.1.1			
6.1.1.10		6.1.1.6		5.5.1.4	4.2.1.6	4.6.1.13		6.2.1.5		4.4.1.11			
6.1.1.11		6.1.1.7		5.5.1.5	4.2.1.60	4.6.1.6		6.3.1.2		4.4.1.2			
6.1.1.12		6.1.1.9		6.1.1.17	4.2.1.61	4.99.1.1		6.3.2.1		4.4.1.5			
6.1.1.14		6.2.1.1		6.2.1.1	4.2.1.70	4.99.1.4		6.3.2.17		4.4.1.8			
6.1.1.15		6.2.1.14		6.2.1.16	4.2.1.75	5.1.3.1		6.3.2.2		4.6.1.1			
6.1.1.16		6.2.1.16		6.2.1.3	4.2.1.79	5.1.3.15		6.3.2.26		4.6.1.2			
6.1.1.17		6.2.1.17		6.2.1.5	4.2.1.8	5.1.3.2		6.3.2.3		4.99.1.1			
6.1.1.18		6.2.1.3		6.3.1.2	4.2.1.9	5.1.3.3		6.3.2.5		4.99.1.4			
6.1.1.19		6.2.1.30		6.3.2.1	4.2.1.94	5.1.3.7		6.3.2.6		5.1.3.1			
6.1.1.2		6.2.1.4		6.3.2.17	4.2.1.99	5.2.1.2		6.3.3.1		5.1.3.15			
6.1.1.20		6.2.1.5		6.3.2.2	4.2.3.1	5.2.1.4		6.3.3.2		5.1.3.2			
6.1.1.21		6.3.1.1		6.3.2.3	4.2.3.3	5.3.1.1		6.3.3.3		5.1.3.3			
6.1.1.22		6.3.1.2		6.3.2.5	4.2.3.4	5.3.1.14		6.3.4.13		5.1.3.7			
6.1.1.3		6.3.2.1		6.3.2.6	4.2.3.5	5.3.1.16		6.3.4.14		5.3.1.1			
6.1.1.4		6.3.2.12		6.3.3.1	4.3.1.17	5.3.1.24		6.3.4.15		5.3.1.16			
6.1.1.5		6.3.2.17		6.3.3.2	4.3.1.19	5.3.1.6		6.3.4.2		5.3.1.23			
6.1.1.6		6.3.2.2		6.3.3.3	4.3.1.2	5.3.1.8		6.3.4.4		5.3.1.24			
